hero_id,hero_name,hero_class,hero_rarity,synergy_01_required_heroes,synergy_01_required_hero_ids,synergy_01_tier,synergy_01_rank_required,synergy_01_upgrade,synergy_01_base_bonus,synergy_02_required_heroes,synergy_02_required_hero_ids,synergy_02_tier,synergy_02_rank_required,synergy_02_upgrade,synergy_02_base_bonus,synergy_03_required_heroes,synergy_03_required_hero_ids,synergy_03_tier,synergy_03_rank_required,synergy_03_upgrade,synergy_03_base_bonus,synergy_04_required_heroes,synergy_04_required_hero_ids,synergy_04_tier,synergy_04_rank_required,synergy_04_upgrade,synergy_04_base_bonus,synergy_05_required_heroes,synergy_05_required_hero_ids,synergy_05_tier,synergy_05_rank_required,synergy_05_upgrade,synergy_05_base_bonus,synergy_06_required_heroes,synergy_06_required_hero_ids,synergy_06_tier,synergy_06_rank_required,synergy_06_upgrade,synergy_06_base_bonus,synergy_07_required_heroes,synergy_07_required_hero_ids,synergy_07_tier,synergy_07_rank_required,synergy_07_upgrade,synergy_07_base_bonus,synergy_08_required_heroes,synergy_08_required_hero_ids,synergy_08_tier,synergy_08_rank_required,synergy_08_upgrade,synergy_08_base_bonus,synergy_09_required_heroes,synergy_09_required_hero_ids,synergy_09_tier,synergy_09_rank_required,synergy_09_upgrade,synergy_09_base_bonus,synergy_10_required_heroes,synergy_10_required_hero_ids,synergy_10_tier,synergy_10_rank_required,synergy_10_upgrade,synergy_10_base_bonus,synergy_11_required_heroes,synergy_11_required_hero_ids,synergy_11_tier,synergy_11_rank_required,synergy_11_upgrade,synergy_11_base_bonus,synergy_12_required_heroes,synergy_12_required_hero_ids,synergy_12_tier,synergy_12_rank_required,synergy_12_upgrade,synergy_12_base_bonus,synergy_13_required_heroes,synergy_13_required_hero_ids,synergy_13_tier,synergy_13_rank_required,synergy_13_upgrade,synergy_13_base_bonus,synergy_14_required_heroes,synergy_14_required_hero_ids,synergy_14_tier,synergy_14_rank_required,synergy_14_upgrade,synergy_14_base_bonus,synergy_15_required_heroes,synergy_15_required_hero_ids,synergy_15_tier,synergy_15_rank_required,synergy_15_upgrade,synergy_15_base_bonus,synergy_16_required_heroes,synergy_16_required_hero_ids,synergy_16_tier,synergy_16_rank_required,synergy_16_upgrade,synergy_16_base_bonus
10,Champion,0,6,Warlord,11,1,0,killGold_personal,+25%,Templar|Warden,22|35,1,0,attSpeed_global,+6%,Sorcerer,14,2,15,damage_global,+40%,Praetorian|Rogue,36|31,2,15,skillCd_personal,-20%,Spelldancer,19,3,50,critChance_personal,+35%,Gladiator|Elementalist,7|17,3,50,critDmg_global,+100%,Hunter,25,4,100,goldSuperChance_global,+4%,Militia|Crusader,0|33,4,100,damage_personal,+350%,Ballista,32,5,150,killGold_personal,+400%,Warlock|Archer,21|27,5,150,superCritChance_global,+10%,Sniper,30,6,250,energyIncome_global,+5,Samurai|Paladin,5|6,6,250,expUltraChance_global,+3%,Scout,24,7,500,expSuperAmount_global,+20%,Apprentice|Deadeye,12|40,7,500,skillPower_global,+8%,Skymage|Sniper|Veteran,20|30|41,8,1000,bossExp_global,+40%,Samurai|Paladin|Battlemage,5|6|18,8,1000,attSpeed_global,+75%
11,Warlord,0,6,Champion,10,1,0,attSpeed_personal,+10%,Necromancer|Captain,23|34,1,0,skillDuration_personal,+3,Crusader,33,2,15,attSpeed_global,+10%,Peacekeeper|Ballista,4|32,2,15,critDmg_personal,+150%,Sniper,30,3,50,damage_global,+80%,Witch|Wizard,15|16,3,50,critChance_personal,+50%,Scout,24,4,100,damage_personal,+300%,Skymage|Veteran,20|41,4,100,skillPower_global,+2%,Titan,37,5,150,superCritChance_global,+8%,Paladin|Druid,6|13,5,150,killGold_global,+200%,Dicemaster,39,6,250,ultraCritChance_personal,+5%,Assassin|Wizard,3|16,6,250,goldUltraAmount_personal,+4250%,Viking,1,7,500,damage_global,+300%,Peacekeeper|Gladiator,4|7,7,500,ultraBossDmg_global,+1600%,Peacekeeper|Apprentice|Arbalest,4|12|29,8,1000,energyIncome_global,+10,Titan|Warlock|Warlock,37|21|21,8,1000,energyUltraAmount_global,+75%
12,Apprentice,1,1,Militia,0,1,0,attSpeed_global,+3%,Druid|Hunter,13|25,1,0,skillCd_global,-4%,Skymage,20,2,15,critDmg_global,+40%,Elementalist|Sniper,17|30,2,15,damage_global,+60%,Berserker,8,3,50,killGold_personal,+200%,Assassin|Spelldancer,3|19,3,50,critChance_global,+20%,Titan,37,4,100,expSuperChance_global,+2%,Gladiator|Archer,7|27,4,100,energySuperAmount_global,+4%,Necromancer,23,5,150,goldSuperAmount_personal,+1100%,Peacekeeper|Rogue,4|31,5,150,damage_global,+200%,Ninja,2,6,250,skillPower_global,+5%,Praetorian|Sniper,36|30,6,250,killGold_global,+275%,Dicemaster,39,7,500,skillPower_personal,+15%,Champion|Deadeye,10|40,7,500,damage_global,+350%,Peacekeeper|Warlord|Arbalest,4|11|29,8,1000,superCritDmg_global,+1000%,Witch|Skymage|Dicemaster,15|20|39,8,1000,skillPower_global,+15%
13,Druid,1,1,Viking,1,1,0,skillDuration_personal,+2,Apprentice|Hunter,12|25,1,0,skillPower_personal,+3%,Arbalest,29,2,15,damage_global,+40%,Militia|Battlemage,0|18,2,15,critChance_global,+12%,Skymage,20,3,50,critDmg_personal,+200%,Templar|Scout,22|24,3,50,killGold_personal,+250%,Chieftain,9,4,100,damage_personal,+300%,Dicemaster|Rogue,39|31,4,100,superCritChance_global,+6%,Captain,34,5,150,killGold_personal,+400%,Paladin|Warlord,6|11,5,150,energyIncome_global,+4,Witch,15,6,250,ultraCritDmg_global,+2000%,Berserker|Hunter,8|25,6,250,goldUltraChance_global,+3%,Spelldancer,19,7,500,damage_global,+300%,Samurai|Captain,5|34,7,500,energyIncome_global,+8,Chieftain|Warlock|Archer,9|21|27,8,1000,expUltraAmount_global,+105%,Chieftain|Elementalist|Ranger,9|17|28,8,1000,energyUltraChance_global,+8%
14,Sorcerer,1,2,Archer,27,1,0,killGold_personal,+25%,Ninja|Witch,2|15,1,0,critChance_global,+4%,Champion,10,2,15,damage_global,+40%,Paladin|Crusader,6|33,2,15,skillCd_personal,-20%,Necromancer,23,3,50,attSpeed_personal,+80%,Viking|Dicemaster,1|39,3,50,critDmg_personal,+250%,Elementalist,17,4,100,killGold_global,+125%,Assassin|Berserker,3|8,4,100,energySuperChance_global,+2%,Scout,24,5,150,skillPower_global,+3%,Praetorian|Crusader,36|33,5,150,goldSuperChance_personal,+25%,Templar,22,6,250,damage_global,+250%,Skymage|Ballista,20|32,6,250,expUltraChance_global,+3%,Paladin,6,7,500,goldSuperChance_global,+12%,Wizard|Skymage,16|20,7,500,damage_global,+350%,Militia|Gladiator|Captain,0|7|34,8,1000,ultraCritDmg_global,+3000%,Necromancer|Forester|Deadeye,23|26|40,8,1000,skillPower_global,+15%
15,Witch,1,2,Forester,26,1,0,skillCd_personal,-5%,Ninja|Sorcerer,2|14,1,0,critDmg_global,+20%,Samurai,5,2,15,attSpeed_global,+10%,Necromancer|Hunter,23|25,2,15,killExp_global,+10%,Paladin,6,3,50,killGold_global,+80%,Warlord|Wizard,11|16,3,50,damage_global,+100%,Militia,0,4,100,superCritChance_personal,+10%,Ranger|Ballista,28|32,4,100,skillPower_global,+2%,Peacekeeper,4,5,150,damage_personal,+400%,Battlemage|Sovereign,18|38,5,150,killGold_personal,+450%,Druid,13,6,250,energyUltraAmount_global,+25%,Chieftain|Spelldancer,9|19,6,250,goldUltraAmount_global,+2250%,Titan,37,7,500,damage_global,+300%,Necromancer|Warden,23|35,7,500,skillDuration_personal,+15,Battlemage|Spelldancer|Templar,18|19|22,8,1000,skillPower_personal,+30%,Apprentice|Skymage|Dicemaster,12|20|39,8,1000,ultraCritDmg_global,+3250%
16,Wizard,1,3,Elementalist,17,1,0,damage_global,+10%,Peacekeeper|Samurai,4|5,1,0,killGold_global,+20%,Battlemage,18,2,15,critChance_global,+8%,Titan|Dicemaster,37|39,2,15,attSpeed_global,+15%,Ninja,2,3,50,killExp_global,+20%,Warlord|Witch,11|15,3,50,critDmg_global,+100%,Deadeye,40,4,100,killGold_global,+125%,Praetorian|Battlemage,36|18,4,100,attSpeed_global,+40%,Warlock,21,5,150,energyIncome_global,+3,Berserker|Titan,8|37,5,150,damage_personal,+450%,Ranger,28,6,250,energyUltraAmount_global,+25%,Assassin|Warlord,3|11,6,250,ultraCritChance_personal,+7%,Crusader,33,7,500,attSpeed_global,+40%,Sorcerer|Skymage,14|20,7,500,damage_global,+350%,Viking|Necromancer|Ballista,1|23|32,8,1000,expUltraAmount_global,+105%,Assassin|Praetorian|Spelldancer,3|36|19,8,1000,skillPower_global,+15%
17,Elementalist,1,3,Wizard,16,1,0,critChance_global,+2%,Ranger|Arbalest,28|29,1,0,damage_personal,+50%,Hunter,25,2,15,killExp_global,+6%,Apprentice|Sniper,12|30,2,15,skillDuration_personal,+6,Forester,26,3,50,attSpeed_global,+22%,Gladiator|Champion,7|10,3,50,critDmg_global,+100%,Sorcerer,14,4,100,energySuperAmount_global,+2%,Warlock|Deadeye,21|40,4,100,killGold_personal,+350%,Warden,35,5,150,expSuperAmount_global,+10%,Viking|Samurai,1|5,5,150,damage_global,+200%,Necromancer,23,6,250,goldUltraAmount_personal,+3750%,Dicemaster|Scout,39|24,6,250,skillPower_global,+6%,Rogue,31,7,500,goldSuperAmount_global,+850%,Chieftain|Sovereign,9|38,7,500,skillPower_personal,+20%,Ninja|Assassin|Warden,2|3|35,8,1000,goldUltraAmount_global,+3000%,Chieftain|Druid|Ranger,9|13|28,8,1000,energyUltraChance_global,+8%
18,Battlemage,1,4,Spelldancer,19,1,0,killExp_global,+1%,Gladiator|Rogue,7|31,1,0,attSpeed_personal,+25%,Wizard,16,2,15,skillPower_personal,+5%,Militia|Druid,0|13,2,15,critDmg_global,+60%,Veteran,41,3,50,damage_global,+80%,Ballista|Warden,32|35,3,50,skillCd_personal,-30%,Ranger,28,4,100,goldSuperAmount_global,+450%,Praetorian|Wizard,36|16,4,100,damage_global,+150%,Chieftain,9,5,150,goldSuperChance_personal,+20%,Witch|Sovereign,15|38,5,150,superCritDmg_global,+625%,Paladin,6,6,250,killGold_global,+250%,Forester|Deadeye,26|40,6,250,energyIncome_global,+6,Berserker,8,7,500,attSpeed_global,+40%,Sniper|Crusader,30|33,7,500,damage_global,+350%,Witch|Spelldancer|Templar,15|19|22,8,1000,ultraCritDmg_global,+3000%,Samurai|Paladin|Champion,5|6|10,8,1000,skillPower_global,+15%
19,Spelldancer,1,4,Battlemage,18,1,0,killGold_global,+10%,Paladin|Sniper,6|30,1,0,attSpeed_personal,+25%,Viking,1,2,15,critDmg_global,+40%,Archer|Warden,27|35,2,15,skillCd_global,-7%,Champion,10,3,50,damage_global,+80%,Assassin|Apprentice,3|12,3,50,skillPower_personal,+12%,Warlock,21,4,100,superCritDmg_global,+450%,Ninja|Peacekeeper,2|4,4,100,expSuperChance_global,+4%,Sniper,30,5,150,skillPower_global,+3%,Scout|Ballista,24|32,5,150,energySuperChance_global,+4%,Veteran,41,6,250,skillPower_global,+5%,Chieftain|Witch,9|15,6,250,damage_global,+275%,Druid,13,7,500,superCritDmg_global,+850%,Militia|Arbalest,0|29,7,500,energySuperChance_global,+6%,Witch|Battlemage|Templar,15|18|22,8,1000,skillDuration_personal,+20,Assassin|Praetorian|Wizard,3|36|16,8,1000,ultraCritDmg_global,+3250%
20,Skymage,1,5,Berserker,8,1,0,critDmg_global,+10%,Warlock|Crusader,21|33,1,0,skillCd_personal,-10%,Apprentice,12,2,15,killGold_global,+40%,Samurai|Templar,5|22,2,15,killExp_global,+10%,Druid,13,3,50,critChance_personal,+35%,Ranger|Crusader,28|33,3,50,damage_personal,+250%,Dicemaster,39,4,100,goldSuperChance_global,+4%,Warlord|Veteran,11|41,4,100,skillPower_global,+2%,Hunter,25,5,150,damage_global,+175%,Gladiator|Deadeye,7|40,5,150,energySuperAmount_global,+8%,Assassin,3,6,250,ultraCritChance_global,+2%,Sorcerer|Ballista,14|32,6,250,killGold_global,+275%,Warden,35,7,500,superCritChance_global,+12%,Sorcerer|Wizard,14|16,7,500,damage_global,+350%,Champion|Sniper|Veteran,10|30|41,8,1000,expUltraAmount_global,+105%,Apprentice|Witch|Dicemaster,12|15|39,8,1000,attSpeed_global,+75%
21,Warlock,1,5,Chieftain,9,1,0,critChance_personal,+5%,Crusader|Skymage,33|20,1,0,killGold_global,+20%,Praetorian,36,2,15,skillCd_global,-5%,Deadeye|Veteran,40|41,2,15,damage_global,+60%,Sovereign,38,3,50,skillDuration_personal,+8,Militia|Captain,0|34,3,50,killExp_global,+35%,Spelldancer,19,4,100,skillPower_global,+1%,Elementalist|Deadeye,17|40,4,100,goldSuperAmount_global,+500%,Wizard,16,5,150,superCritDmg_global,+550%,Champion|Archer,10|27,5,150,damage_personal,+450%,Forester,26,6,250,skillCd_personal,-30%,Ninja|Gladiator,2|7,6,250,killGold_global,+275%,Sovereign,38,7,500,goldSuperAmount_global,+850%,Titan|Archer,37|27,7,500,expSuperAmount_global,+25%,Chieftain|Druid|Archer,9|13|27,8,1000,skillPower_personal,+30%,Warlord|Titan|Warlock,11|37|21,8,1000,energyIncome_global,+15
22,Templar,1,6,Captain,34,1,0,skillPower_personal,+2%,Champion|Warden,10|35,1,0,critDmg_personal,+50%,Deadeye,40,2,15,damage_global,+40%,Samurai|Skymage,5|20,2,15,killGold_global,+60%,Arbalest,29,3,50,skillCd_global,-8%,Druid|Scout,13|24,3,50,attSpeed_personal,+100%,Paladin,6,4,100,damage_personal,+300%,Sovereign|Forester,38|26,4,100,superCritChance_personal,+15%,Gladiator,7,5,150,energyIncome_global,+3,Dicemaster|Sniper,39|30,5,150,expSuperAmount_global,+12%,Sorcerer,14,6,250,killGold_global,+250%,Necromancer|Rogue,23|31,6,250,goldUltraChance_global,+3%,Veteran,41,7,500,expSuperAmount_global,+20%,Paladin|Berserker,6|8,7,500,energySuperAmount_global,+20%,Witch|Battlemage|Spelldancer,15|18|19,8,1000,skillPower_personal,+30%,Templar|Scout|Sniper,22|24|30,8,1000,energyIncome_global,+15
23,Necromancer,1,6,Warden,35,1,0,damage_personal,+25%,Warlord|Captain,11|34,1,0,skillDuration_personal,+3,Sniper,30,2,15,attSpeed_global,+10%,Witch|Hunter,15|25,2,15,critChance_global,+12%,Sorcerer,14,3,50,killGold_personal,+200%,Samurai|Hunter,5|25,3,50,critDmg_global,+100%,Veteran,41,4,100,energySuperChance_global,+1%,Viking|Titan,1|37,4,100,damage_global,+150%,Apprentice,12,5,150,killGold_personal,+400%,Militia|Arbalest,0|29,5,150,goldSuperAmount_personal,+1250%,Elementalist,17,6,250,ultraCritDmg_personal,+3750%,Templar|Rogue,22|31,6,250,energyIncome_global,+6,Praetorian,36,7,500,ultraBossDmg_global,+1400%,Witch|Warden,15|35,7,500,skillPower_personal,+20%,Viking|Wizard|Ballista,1|16|32,8,1000,bossDmg_global,+800%,Sorcerer|Forester|Deadeye,14|26|40,8,1000,ultraCritDmg_global,+3250%
24,Scout,2,1,Hunter,25,1,0,damage_personal,+25%,Militia|Viking,0|1,1,0,critChance_global,+4%,Paladin,6,2,15,killGold_personal,+100%,Ninja|Berserker,2|8,2,15,attSpeed_personal,+60%,Ballista,32,3,50,critDmg_global,+80%,Druid|Templar,13|22,3,50,skillCd_personal,-30%,Warlord,11,4,100,goldSuperAmount_global,+450%,Samurai|Warden,5|35,4,100,damage_global,+150%,Sorcerer,14,5,150,energyIncome_global,+3,Spelldancer|Ballista,19|32,5,150,superCritChance_personal,+25%,Peacekeeper,4,6,250,killGold_global,+250%,Elementalist|Dicemaster,17|39,6,250,expUltraAmount_global,+60%,Champion,10,7,500,goldSuperAmount_global,+850%,Praetorian|Hunter,36|25,7,500,goldSuperChance_global,+14%,Paladin|Hunter|Rogue,6|25|31,8,1000,goldUltraChance_global,+7%,Templar|Templar|Sniper,22|22|30,8,1000,battlepassExp_global,+1%
