hero_id,hero_name,gameobject_name,hero_class,hero_rarity,pronoun,base_cost,base_dps_ratio,base_att_speed,base_range_ratio,base_crit_chance,skill_title,base_skill_active_time,base_skill_cooldown_time,skill_power_bonus_effect,skill_duration_time_effect,skill_mastery_base_req_val,milestone_upgrades,milestone_count,backstory,gameobject_path_id,hero_behaviour_path_id,is_prefab,prefab_hero_path_id,head_icon_path_id,full_icon_path_id
10,Champion,champion (1h sword medium),0,6,her,250000,1.2999999523162842,1.0,0.8999999761581421,3,Lightning Storm,3.0,24.0,+0.5x / +10%,0.0,35000,4|9|2|11|8|15|5|9|1|33|22|0|29|34|40|9|12,0,"Champion stands as a formidable knight capable of summoning fierce lightning to strike down her enemies. Clad in armor that shimmers like storm clouds, she rides into battle, her sword crackling with electric energy that mirrors the intensity of her resolve. This rare ability to harness the storm not only devastates her foes but also bolsters the morale of her allies, who view her as a harbinger of victory. Champion's mastery of lightning and valorous heart have earned her prestigous titles, a knight revered not just for her power but for her unwavering commitment to justice. In every clash, her presence is as impactful as the thunderbolts she commands, leaving a trail of awe and respect in her wake.",63040,300301,1,300301,2472,2476
11,Warlord,warlord (1h sword medium),0,6,him,500000,1.2000000476837158,0.8999999761581421,0.8999999761581421,3,Avatar,10.0,24.0,+10% / +5% / +1%,1.0,25000,11|4|10|0|6|3|14|9|26|18|1|40|34|35|2|17|23,0,"Warlord is a seasoned military commander whose presence on the battlefield inspires both fear and awe. With each enemy encounter, he harnesses the chaos of combat to fuel his own formidable strength, growing more powerful as the battle rages on. His strategic genius and unbreakable will are manifest in his ability to turn the tide of war, rallying his troops with his escalating prowess. Warlord's reputation as an unstoppable force grows with each victory, solidifying his status as a legend among soldiers and adversaries alike. His knack for seizing the momentum of battle and converting it into raw power makes him a unique and daunting leader, truly deserving of the title Warlord.",65292,301908,1,301908,2757,2451
12,Apprentice,apprentice (battle),1,1,him,5,1.100000023841858,0.75,1.0,1,Slow,10.0,24.0,-3%,1.0,25000,3|11|6|9|10|0|7|4|27|33|20|34|1|30|34|18|22,0,"Apprentice is a young wizard in the early stages of mastering the arcane arts. His burgeoning ability to slow the movement and reactions of his enemies makes him a unique asset in conflicts, giving his more experienced allies a critical advantage. Under the tutelage of a sorceress, Apprentice is honing his skills, focusing on perfecting his time-altering spells. Despite his novice status, his eagerness to learn and innate talent for manipulating temporal energies inspire both curiosity and respect in his magical community. His journey is marked by rapid growth and the potential to become a formidable wizard, as he weaves slow magic with increasing confidence and precision.",24321,277314,1,277314,2791,2594
13,Druid,druid (battle),1,1,him,10,1.0,0.8999999761581421,1.0,1,Damage Boost,10.0,28.0,+5%,1.0,25000,10|1|13|8|4|9|14|11|16|2|29|40|0|35|30|9|18,0,"Druid is a battlemage whose mystical powers amplify the destructive force of his allies. With a deep connection to ancient forces, he casts spells that infuse his army's weapons with elemental fury, turning simple blows into devastating strikes. His ability to enhance combat effectiveness has made him a revered figure in battles, where his presence alone can shift the dynamics in favor of his side. Druid's strategic use of his magic, coupled with his calm demeanor under pressure, earns him the loyalty and trust of those he leads. His unique blend of wizardry and battlefield command ensures that any force he accompanies is a formidable threat to its foes.",75730,285341,1,285341,2790,2678
14,Sorcerer,sorcerer (support),1,2,her,50,0.6000000238418579,1.0,1.100000023841858,1,Stun,3.0,32.0,+0.3x,0.30000001192092896,25000,9|7|0|14|13|3|12|17|4|10|1|35|31|30|2|22|10,0,"Sorcerer commands the rare and formidable power to incapacitate her enemies with bolts of stunning magic. With precision and grace, she weaves spells that disrupt her adversaries' senses, leaving them dazed and vulnerable to further attack. Her unique ability not only makes her a pivotal figure in combat but also a guardian of her mystical community, where her skills ensure safety and order. Sorcerer's mastery of stunning spells, combined with her strategic acumen, has earned her both respect and a touch of fear from those who know of her capabilities. Her presence on any battlefield is a signal of control and dominance, making her an indispensable ally in any conflict.",79830,311478,1,311478,2776,2837
15,Witch,witch (support),1,2,her,100,1.2999999523162842,1.0,1.0,5,Curse,10.0,28.0,+5%,1.0,35000,2|5|4|1|12|15|8|10|32|9|28|0|21|41|30|16|22,0,"Witch wields the dark art of cursing with unnerving precision. Her ability to cast spells that bring misfortune, confusion, and fear upon her enemies has made her a figure of both awe and dread. From her secluded hut in the dark forests, she concocts potions and incantations that weave destinies of despair for those who cross her path. Witch's mastery of curses is not only a weapon but also a shield, deterring those who would dare threaten her solitude. Her reputation ensures that she is approached with caution and respect, for to invoke her wrath is to court disaster.",89428,318062,1,318062,2802,2738
16,Wizard,wizard (battle),1,3,him,500,1.2000000476837158,0.6000000238418579,1.0,1,Speed Boost,10.0,28.0,+5%,1.0,25000,4|14|7|10|6|11|2|9|24|1|40|22|35|2|10|41|0,0,"Wizard possesses a remarkable magical talent for accelerating the actions and reactions of his allies. With carefully crafted spells, he can enhance the speed and agility of those around him, allowing them to move and think faster than their adversaries during critical moments. This ability has made him an invaluable asset in both battles and strategic operations, where split-second decisions can mean the difference between victory and defeat. Wizard's mastery of time-altering magic not only boosts his companions' effectiveness but also turns the tide in tight situations, earning him the respect and admiration of generals and soldiers alike. His presence on the battlefield is a promise of swift action, giving his side a palpable advantage.",62437,300064,1,300064,2487,2707
17,Elementalist,elementalist (support),1,3,her,1000,0.800000011920929,0.8999999761581421,1.100000023841858,1,Confuse,3.0,32.0,+0.3x,0.30000001192092896,25000,0|10|9|4|3|5|15|19|33|40|1|34|30|26|16|54|13,0,"Elementalist wields her profound mastery over elemental magic to disorient and confuse her adversaries in battle. With a mere flick of her wrist, she can manipulate air to distort sounds, water to blur visions, and earth to shift unexpectedly underfoot, leaving her enemies bewildered and vulnerable. Her ability to intertwine her spells with the natural elements creates chaotic battlefields where only her allies stand firm, guided by her subtle signals. Elementalist's reputation as a cunning and unpredictable mage precedes her, making her a respected figure in any strategy council. Her unique approach to combat, which turns the environment itself into a labyrinth of confusion, has thwarted many would-be conquerors and established her as a formidable protector of her homeland.",19467,274390,1,274390,2471,2799
18,Battlemage,battlemage (battle),1,4,him,5000,1.2999999523162842,0.75,1.0,5,Critical Boost,10.0,28.0,+1%,1.0,25000,6|9|2|15|1|14|10|12|18|4|28|40|0|30|35|20|9,0,"Battlemage wields magic that fortifies and amplifies the strength of his comrades during combat. His presence on the battlefield is a beacon of power, as he casts intricate spells that envelop his allies in auras of might and resilience. With a deep understanding of both arcane energies and martial tactics, Battlemage strategically positions himself to maximize the effectiveness of his enhancements, turning ordinary soldiers into formidable warriors. Revered for his leadership and feared for his battlefield acumen, Battlemage's abilities not only ensure the upper hand in skirmishes but also inspire courage and unity among those he fights alongside. His role as a force multiplier has made him a key figure in many historic victories, securing his legend as both protector and enhancer.",76357,309008,1,309008,2695,2662
19,Spelldancer,spelldancer (support),1,4,her,10000,0.6000000238418579,1.0,0.8999999761581421,1,Power Boost,10.0,28.0,+5%,1.0,25000,12|4|10|14|9|8|13|3|0|16|34|1|31|2|0|22|9,0,"Spelldancer is a mesmerizing mage whose dances enhance the abilities of her allies. As she moves gracefully through intricate routines, her motions weave potent spells that elevate strength, speed, and magical power, turning the tide of any encounter. Her performances, both in battle and during ceremonial rites, are not only beautiful but also strategic, fostering unity and amplifying the collective might of those around her. Spelldancer's unique blend of art and magic has made her a beloved figure, celebrated for turning combat into a ballet of enhanced prowess and shared victories. Her presence is a symbol of hope and strength, inspiring all who witness her dance to reach beyond their limits.",14745,271770,1,271770,2731,2746
20,Skymage,skymage (support),1,5,her,40000,0.800000011920929,0.5,1.100000023841858,1,Teleport,1.0,32.0,+0.3x,0.0,35000,7|14|9|6|11|4|0|9|40|25|23|1|34|26|2|18|22,0,"Skymage is a sorceress with the rare ability to teleport herself and others across vast distances in the blink of an eye. Her talent for spatial magic makes her an invaluable ally in times of crisis, allowing her to whisk away those in danger or position forces strategically in battle. Beyond her tactical uses, Skymage’s powers have made her a bridge between isolated communities, enhancing trade and communication. Her unique skillset, coupled with a benevolent spirit, has earned her a reputation as a guardian of peace and a pioneer in magical transportation.",24773,280408,1,280408,2670,2782
21,Warlock,warlock (battle),1,5,him,80000,1.399999976158142,0.75,1.0,3,Cooldown Boost,10.0,28.0,+5%,1.0,25000,14|1|5|2|8|10|4|11|9|26|40|21|38|16|5|39|61,0,"Warlock, born in the mystical reaches of the Shadowlands, stands apart with his unique magical prowess as a shaman who can drastically increase the speed of spellcasting. This rare ability allows him to weave complex spells faster than his adversaries can react, making him a formidable foe in battle and a highly valued ally. His deep connection to the spiritual realm enhances this power, granting him insights that guide his tribe through both mystical and mundane challenges. Revered for his strategic mind and mystical skills, Warlock is not only a protector but also a visionary, leading his people with a blend of ancient wisdom and innovative magic.",40729,287059,1,287059,2521,2551
22,Templar,templar (support),1,6,her,250000,0.800000011920929,0.6000000238418579,1.0,1,Splash Boost,10.0,28.0,+1%,1.0,25000,4|3|12|9|14|0|6|24|10|18|35|1|40|2|30|57|60,0,"Templar serves as a distinguished mage within the royal guard. Her unique magical expertise allows her to enchant her allies' weapons with splash damage, amplifying their effectiveness in battle. This rare ability makes her an invaluable asset in group combat, where she strategically positions herself to maximize the impact of her spells. Beyond her combat roles, Templar is respected among her peers for her keen intellect and unwavering loyalty to the crown. Her presence not only bolsters the kingdom's defenses but also inspires her fellow mages to explore new magical synergies.",64014,304679,1,304679,2763,2504
23,Necromancer,necromancer (battle),1,6,him,500000,0.8999999761581421,0.8999999761581421,1.0,1,Chaos,10.0,32.0,+5%,1.0,25000,8|15|4|10|2|14|9|1|16|12|0|28|32|30|34|41|0,0,"Necromancer wields the dark art of summoning chaos, casting a shadow over the lands he traverses. This enigmatic wizard harnesses the turbulent energies of the void, conjuring storms of entropy that disrupt order and bend the fabric of reality. His presence alone can unsettle the most serene settings, making him both feared and revered in the arcane community. Known for his deep, haunting voice and the ever-present swirl of dark mist around him, Necromancer is a figure of intrigue and power, drawing both curiosity and caution from those who cross his path. His mastery of chaos not only makes him a formidable adversary but also a catalyst for change wherever he goes.",26880,278537,1,278537,2492,2612
24,Scout,scout (fast),2,1,him,5,1.2999999523162842,1.0,1.0,3,Pierce Shot,1.0,20.0,+75%,0.0,35000,13|3|0|12|9|9|5|19|40|32|1|28|35|3|0|30|26,0,"Scout is a novice archer whose natural talent and keen eye make his pierce shot attack particularly deadly. Despite his youth and relative inexperience, he has quickly gained a reputation for his ability to hit targets at impressive distances, often piercing through the thickest armor with a single arrow. His agility and sharp instincts are complemented by a growing prowess with the bow, making him a valuable asset in any skirmish or battle. As he traverses the battlefield, Scout’s swift movements and precise shots instill both hope in his allies and dread in his foes. His dedication to mastering archery promises a future where his name will be synonymous with the legends of great marksmen.",88985,317780,1,317780,2576,2532
25,Hunter,hunter (slow),2,1,him,10,1.0,0.5,1.2000000476837158,3,Gold Lust,1.0,20.0,+20%,0.0,35000,6|7|2|9|4|14|1|24|11|9|20|0|34|9|27|53|30,0,"Hunter is an archer renowned for his uncanny ability to turn each successful kill into a bounty of gold. His prowess with the bow is not just a means of defense but a profitable venture, as he expertly tracks and eliminates high-value targets. This unique skill has made him a legend among mercenaries and treasure seekers alike. As he navigates through dangerous terrains, his keen eyes and steady hands ensure that no opportunity for gain is missed. Hunter's reputation as both a deadly archer and a cunning opportunist continues to grow, as he skillfully blends the art of survival with the lucrative business of bounty hunting.",71439,294026,1,294026,2821,2596
26,Forester,forester (fast),2,2,her,50,0.800000011920929,1.0,1.100000023841858,3,Bleed,10.0,20.0,+15%,1.0,25000,8|9|15|0|5|3|4|32|10|12|31|22|40|34|16|18|9,0,"Forester is a ranger whose arrows cause grievous wounds that bleed her enemies dry. Her mastery of the bow is paired with a deep understanding of nature's subtleties, allowing her to track and strike her prey with lethal efficiency. The slow, relentless bleed from her arrows ensures that once marked, her targets rarely escape the forest's embrace. Her reputation among her peers is that of a silent guardian, feared by those who threaten the balance of her domain. Forester's deadly precision and the haunting inevitability of her attacks make her a formidable protector of the wilds, respected and revered as the embodiment of nature’s unforgiving side.",81140,314946,1,314946,2680,2687
27,Archer,archer (slow),2,2,her,100,1.0,0.6000000238418579,1.100000023841858,1,Exp Bonus,1.0,20.0,+20%,0.0,35000,1|14|4|15|9|7|9|11|17|2|0|40|31|9|33|53|35,0,"Archer possesses a rare talent that allows her and her allies to gain additional experience from each enemy she fells with her bow. Her precise and deadly shots not only dispatch foes with startling efficiency but also serve as crucial lessons in combat for her comrades, enhancing their skills on the battlefield. Archer's leadership and archery prowess inspire those around her to sharpen their own abilities, fostering a formidable and rapidly advancing team. Her reputation as a mentor and a marksman grows with every skirmish, as she expertly transforms each encounter into a valuable teaching moment. In the heat of battle, Archer stands as both a deadly weapon and a catalyst for growth, her arrows ensuring victory and wisdom in equal measure.",37510,284600,1,284600,2462,2816
28,Ranger,ranger (medium),2,3,him,500,1.0,0.5,1.2000000476837158,5,Gamble Shot,10.0,24.0,+25%,1.0,25000,3|5|9|8|13|10|12|33|0|4|21|28|1|35|34|33|41,0,"Ranger is an archer whose exceptional skill allows his arrows to occasionally strike with devastating extra damage. His years spent honing his craft in the dense forests have endowed him with a sharp eye and an unerring aim. His ability to land critical shots makes him a formidable opponent, as each enhanced strike can turn the tide of battle. His reputation as a precise and deadly marksman precedes him, earning him respect and caution from both allies and enemies. Ranger combines his survival instincts with lethal precision, making every arrow count and leaving a lasting impact on the battlefield.",11012,304705,1,304705,2822,2836
29,Arbalest,arbalest (medium),2,3,her,1000,1.2000000476837158,0.8999999761581421,1.100000023841858,1,Energy Source,1.0,28.0,+1,0.0,35000,11|7|6|9|1|4|2|9|32|27|23|35|40|37|40|39|62,0,"Arbalest is a skilled archer whose precision kills grant vital energy to her team. With each enemy she fells, a surge of rejuvenating force spreads through her allies, invigorating them for the fight ahead. Her mastery of the bow is unparalleled, her bolts striking true and ensuring that every shot counts. Her unique ability to convert her prowess into a tangible benefit for her team has made her an invaluable asset in any skirmish. Revered for her calm under pressure and her unwavering aim, Arbalest stands as both a deadly combatant and a beacon of support, driving her comrades to greater heights with every kill.",70718,305299,1,305299,2835,2539
30,Sniper,sniper (slow),2,4,him,5000,1.2999999523162842,0.5,1.2000000476837158,3,Explosive Shot,1.0,24.0,+50%,0.0,35000,4|1|9|2|14|9|5|12|26|19|34|40|0|34|23|17|18,0,"Sniper is a marksman whose precision shots create explosive impacts, damaging nearby enemies. His exceptional aim and steady hand allow him to target critical points with pinpoint accuracy, causing devastating chain reactions on the battlefield. Trained in the art of stealth and patience, Sniper waits for the perfect moment to strike, turning the tide of combat with a single, powerful shot. His unique ability to blend pinpoint precision with explosive force has earned him a fearsome reputation among both allies and foes. Sniper combines lethal skill with strategic prowess, ensuring that each shot counts and leaves a lasting mark on the battlefield.",81813,312907,1,312907,2737,2715
31,Rogue,rogue (fast),2,4,her,10000,0.8999999761581421,1.2999999523162842,1.0,3,Gold Aura,10.0,28.0,+5%,1.0,35000,14|4|7|3|15|0|11|17|9|40|28|1|35|13|9|53|30,0,"Rogue is an archer whose sharp aim and quick reflexes not only dispatch her enemies with deadly precision but also earn her extra gold from each kill. Her years spent navigating the shadows and honing her skills in the wilds have made her both a lethal combatant and a shrewd opportunist. Rogue's unique talent for turning the tide of battle to her advantage ensures that she emerges from every skirmish not just victorious but richer. Her reputation as a master archer and a cunning strategist precedes her, making her both respected and envied among her peers. Rogue strikes a perfect balance between deadly efficiency and keen resourcefulness, thriving in the chaos of combat.",87564,316887,1,316887,2550,2616
32,Ballista,ballista (slow),2,5,him,40000,1.2000000476837158,0.6499999761581421,1.2000000476837158,3,Exp Aura,10.0,28.0,+5%,1.0,35000,10|8|14|5|4|12|15|1|2|9|40|34|22|33|34|53|35,0,"Ballista is a heavy bowman whose powerful shots not only decimate his enemies but also grant his allies additional experience with each kill. His immense strength allows him to draw a massive bow, sending arrows that pierce through the toughest armor and strike fear into the hearts of his foes. Trained in the harsh wilderness, Ballista has perfected his technique to turn every battle into a learning opportunity for his comrades. His presence on the battlefield is both inspiring and formidable, as each of his strikes serves to elevate the skills of those fighting alongside him. Ballista stands as a pillar of strength and wisdom, ensuring that his team grows stronger with every victory.",66541,317683,1,317683,2743,2797
33,Crusader,crusader (medium),2,5,her,80000,0.699999988079071,0.8999999761581421,1.100000023841858,1,Golden Arrows,10.0,24.0,+5%,1.0,550000,0|9|11|4|6|13|10|3|18|33|1|30|34|27|9|31|10,0,"Crusader is an archer whose every arrow brings not just defeat to her enemies but also gold to her coffers. Her precise and relentless attacks are legendary, each shot meticulously aimed to maximize both damage and profit. Trained in the art of warfare and strategy, Crusader has turned her skill with the bow into a lucrative endeavor, funding her kingdom with the spoils of battle. Her ability to earn gold with each attack makes her a valuable asset in prolonged campaigns, providing resources that sustain her cause. Crusader embodies the blend of martial prowess and economic savvy, driving her mission forward with both her deadly aim and strategic mind.",85218,314873,1,314873,2830,2755
34,Captain,captain (medium),2,6,him,250000,0.800000011920929,1.0,1.2000000476837158,1,Energy Aura,10.0,32.0,+0.25,1.0,35000,2|5|1|13|9|8|14|4|10|12|0|20|31|40|38|45|63,0,"Captain is an armored bowman whose very presence radiates an aura of energy and power, invigorating his allies on the battlefield. Encased in gleaming armor, he expertly combines his skills in archery with the resilience of a frontline warrior. His arrows are precise and deadly, but it is the empowering aura he exudes that truly distinguishes him, boosting the strength and stamina of those around him with each enemy slayed. Trained in both combat and leadership, his role as a sharpshooter and motivator makes him a cornerstone of any military unit. Captain stands as a beacon of fortitude and inspiration, his unwavering spirit driving his team to greater heights in the heat of battle.",50456,313636,1,313636,2859,2460
35,Warden,warden (fast),2,6,her,500000,1.100000023841858,1.0,1.100000023841858,5,Gatling Gun,10.0,24.0,+10% / +5% / +2%,1.0,25000,9|10|7|11|3|6|4|25|33|0|35|1|23|3|17|18|21,0,"Warden is a royal archer famed for her extraordinary speed and precision in battle. Trained in the king's elite guard, her ability to unleash a flurry of arrows in the blink of an eye has earned her both respect and fear on the battlefield. Each shot she fires is a testament to her unparalleled skill, striking her targets with uncanny accuracy. Her swift, relentless attacks keep enemies at bay and protect the realm from impending threats. Warden embodies the pinnacle of archery, her rapid-fire technique ensuring that no enemy escapes the reach of her bow.",65364,302043,1,302043,2727,2520
36,Praetorian,praetorian,0,7,her,2500000,1.100000023841858,1.0,1.0,5,Ion Blades,10.0,28.0,+1% / +5%,1.0,25000,0|13|7|14|4|10|6|2|9|12|1|21|40|9|23|17|1,0,"Praetorian is an elite knight celebrated for her precision and deadly critical strike attacks. In her royal armor, she stands as a formidable protector of the crown, her swordplay both graceful and lethal. Her reputation is built on her uncanny ability to find and exploit the weakest point in an enemy's armor, ensuring that her strikes are as effective as they are swift. As a key figure in the kingdom's defense, Praetorian's skills not only maintain the peace but also deter potential threats with just the whisper of her name. Her presence in any conflict assures her allies of victory, her precision in battle as reliable as it is feared.",90035,318494,1,318494,2522,2617
37,Titan,titan,0,7,him,5000000,1.2000000476837158,0.800000011920929,0.8999999761581421,5,Super Aura,10.0,32.0,+0.2% / +1%,1.0,25000,10|6|1|15|9|7|11|4|17|3|34|28|0|0|41|22|20,0,"Titan is a towering figure among soldiers, wielding a heavy sword with unmatched skill and strength. His very presence on the battlefield enhances the precision of his fellow soldiers, his keen eye and steady hand inspiring and guiding their strikes. As a veteran warrior, Titan not only excels in direct combat but also plays a crucial role in shaping the effectiveness of his unit, making each member sharper and more focused. His reputation for turning the tide of battle with his strategic prowess and powerful swordplay has earned him the respect of allies and the fear of enemies. In every fight, Titan stands as a pillar of strength and precision, his leadership turning ordinary soldiers into formidable warriors under his command.",54543,299058,1,299058,2843,2483
38,Sovereign,sovereign,1,7,her,2500000,0.800000011920929,0.800000011920929,1.0,1,Jackpot,10.0,28.0,+0.2% / +1%,1.0,35000,9|14|7|12|4|2|13|17|1|0|35|40|20|26|30|55|9,0,"Sovereign is a royal mage renowned for her unique alchemical talents that turn ordinary metals into precious gold. Her rare gift not only sustains her kingdom's economy but also funds expansive projects and philanthropic efforts, earning her deep respect among her peers. With a sharp intellect and a keen understanding of both the mystical and the material, she deftly balances her political influence with her magical duties. Sovereign's presence in court is marked by a blend of grace and authority, inspiring admiration and respect. Her ability to generate wealth through alchemy has made her an indispensable asset to the crown, ensuring her legacy as both a benefactor and a leader.",46968,309440,1,309440,2733,2795
