gameobject_path_id,gameobject_name,behaviour_path_id
51015,Chick (13),302223
51019,Chick (14),302227
51013,Chick (15),302221
51017,Chick (16),302226
51004,Chick (17),302212
51012,Chick (18),302218
51005,Chick (19),302214
51003,Chick (2),302211
51007,Chick (20),302216
51006,Chick (3),302213
51014,Chick (4),302222
51016,Chick (5),302224
51000,Chick (6),302210
51011,Chick (7),302220
51001,Chick (8),302208
51018,Chick (9),302225
61830,Creeper,316309
60656,Creeper (1),309647
60658,Creeper (10),309645
60657,Creeper (2),309644
60650,Creeper (3),309651
60652,Creeper (4),309653
60655,Creeper (5),309646
60653,Creeper (6),309648
60651,Creeper (7),309652
60649,Creeper (8),309650
60654,Creeper (9),309649
30607,Cyclops,311752
34224,Cyclops (1),302590
34215,Cyclops (10),302582
34221,Cyclops (11),302588
34212,Cyclops (12),302578
34211,Cyclops (13),302580
34208,Cyclops (14),302577
34219,Cyclops (15),302585
34214,Cyclops (16),302581
34209,Cyclops (17),302574
34225,Cyclops (18),302592
34206,Cyclops (19),302576
34213,Cyclops (2),302579
34216,Cyclops (20),302583
34207,Cyclops (3),302575
34220,Cyclops (4),302587
34217,Cyclops (5),302584
34218,Cyclops (6),302586
34222,Cyclops (7),302589
34223,Cyclops (8),302591
34210,Cyclops (9),302573
75992,Cyclops Bat,276743
11951,Cyclops Bat (1),313733
11945,Cyclops Bat (10),313743
11950,Cyclops Bat (11),313734
11948,Cyclops Bat (12),313730
11938,Cyclops Bat (13),313745
11943,Cyclops Bat (14),313744
11934,Cyclops Bat (15),313737
11939,Cyclops Bat (16),313746
11942,Cyclops Bat (17),313740
11952,Cyclops Bat (18),313732
11937,Cyclops Bat (19),313739
11935,Cyclops Bat (2),313735
11936,Cyclops Bat (20),313738
11944,Cyclops Bat (3),313742
11933,Cyclops Bat (4),313736
11940,Cyclops Bat (5),313747
11946,Cyclops Bat (6),313728
11941,Cyclops Bat (7),313741
11949,Cyclops Bat (8),313731
11947,Cyclops Bat (9),313729
37930,Cyclops Bat Mage,281898
35972,Cyclops Bat Mage (1),281010
35970,Cyclops Bat Mage (10),281008
35969,Cyclops Bat Mage (2),281011
35964,Cyclops Bat Mage (3),281004
35968,Cyclops Bat Mage (4),281012
35967,Cyclops Bat Mage (5),281003
35965,Cyclops Bat Mage (6),281005
35966,Cyclops Bat Mage (7),281006
35971,Cyclops Bat Mage (8),281009
35973,Cyclops Bat Mage (9),281007
29331,Cyclops Bat Wizard,279366
78985,Cyclops Bat Wizard (1),312224
78992,Cyclops Bat Wizard (10),312219
78987,Cyclops Bat Wizard (2),312226
78993,Cyclops Bat Wizard (3),312221
78994,Cyclops Bat Wizard (4),312222
78991,Cyclops Bat Wizard (5),312220
78990,Cyclops Bat Wizard (6),312218
78988,Cyclops Bat Wizard (7),312225
78989,Cyclops Bat Wizard (8),312217
78986,Cyclops Bat Wizard (9),312223
91998,Cyclops Giant,286340
37386,Cyclops Giant (1),318135
37385,Cyclops Giant (10),318132
37384,Cyclops Giant (2),318134
37382,Cyclops Giant (3),318131
37388,Cyclops Giant (4),318137
37383,Cyclops Giant (5),318133
37387,Cyclops Giant (6),318136
37379,Cyclops Giant (7),318128
37380,Cyclops Giant (8),318129
37381,Cyclops Giant (9),318130
77263,Cyclops Minion,269259
60415,Cyclops Minion (1),283273
60420,Cyclops Minion (10),283269
60419,Cyclops Minion (2),283268
60413,Cyclops Minion (3),283275
60414,Cyclops Minion (4),283274
60416,Cyclops Minion (5),283271
60411,Cyclops Minion (6),283276
60417,Cyclops Minion (7),283272
60418,Cyclops Minion (8),283270
60412,Cyclops Minion (9),283277
57057,Death,270377
63173,Death (1),280502
63161,Death (10),280486
63163,Death (11),280492
63162,Death (12),280493
63166,Death (13),280498
63164,Death (14),280491
63171,Death (15),280504
63167,Death (16),280497
63172,Death (17),280503
63169,Death (18),280495
63165,Death (19),280490
63157,Death (2),280489
63176,Death (20),280499
63158,Death (3),280488
63159,Death (4),280485
63168,Death (5),280496
63174,Death (6),280500
63160,Death (7),280487
63170,Death (8),280494
63175,Death (9),280501
32155,Death Mage,319956
52088,Death Mage (1),280550
52091,Death Mage (10),280549
52093,Death Mage (2),280556
52089,Death Mage (3),280551
52094,Death Mage (4),280554
52096,Death Mage (5),280553
52095,Death Mage (6),280555
52092,Death Mage (7),280547
52090,Death Mage (8),280552
52087,Death Mage (9),280548
32628,Dog Bark,273605
20164,Dog Bark (1),281302
20166,Dog Bark (10),281303
20163,Dog Bark (2),281304
20169,Dog Bark (3),281307
20168,Dog Bark (4),281305
20160,Dog Bark (5),281298
20167,Dog Bark (6),281306
20161,Dog Bark (7),281299
20162,Dog Bark (8),281300
20165,Dog Bark (9),281301
32728,Dog Bowwow,306527
90183,Dog Bowwow (1),292934
90186,Dog Bowwow (10),292936
90189,Dog Bowwow (2),292939
90184,Dog Bowwow (3),292938
90185,Dog Bowwow (4),292937
90188,Dog Bowwow (5),292940
90191,Dog Bowwow (6),292942
90182,Dog Bowwow (7),292935
90190,Dog Bowwow (8),292943
90187,Dog Bowwow (9),292941
61484,Dog Pup,296685
30125,Dog Pup (1),271329
30132,Dog Pup (10),271323
30137,Dog Pup (11),271324
30129,Dog Pup (12),271325
30136,Dog Pup (13),271319
30126,Dog Pup (14),271330
30130,Dog Pup (15),271327
30127,Dog Pup (16),271328
30134,Dog Pup (17),271321
30120,Dog Pup (18),271338
30135,Dog Pup (19),271320
30118,Dog Pup (2),271337
30123,Dog Pup (20),271332
30122,Dog Pup (3),271333
30133,Dog Pup (4),271322
30128,Dog Pup (5),271335
30124,Dog Pup (6),271331
30131,Dog Pup (7),271326
30121,Dog Pup (8),271334
30119,Dog Pup (9),271336
81096,Dragon Blizzard,275032
41586,Dragon Blizzard (1),299645
41579,Dragon Blizzard (10),299639
41581,Dragon Blizzard (2),299640
41583,Dragon Blizzard (3),299643
41584,Dragon Blizzard (4),299644
41582,Dragon Blizzard (5),299642
41585,Dragon Blizzard (6),299646
41580,Dragon Blizzard (7),299641
41578,Dragon Blizzard (8),299638
41577,Dragon Blizzard (9),299637
19800,Dragon Darkness,294107
29355,Dragon Darkness (1),299866
29358,Dragon Darkness (10),299862
29360,Dragon Darkness (2),299860
29352,Dragon Darkness (3),299865
29357,Dragon Darkness (4),299858
29353,Dragon Darkness (5),299864
29354,Dragon Darkness (6),299867
29356,Dragon Darkness (7),299859
29351,Dragon Darkness (8),299863
29359,Dragon Darkness (9),299861
50557,Dragon Dusk,273295
14700,Dragon Dusk (1),287995
14709,Dragon Dusk (10),287985
14702,Dragon Dusk (11),287993
14710,Dragon Dusk (12),287986
14693,Dragon Dusk (13),288002
14698,Dragon Dusk (14),287996
14701,Dragon Dusk (15),287994
14705,Dragon Dusk (16),287990
14704,Dragon Dusk (17),287991
14703,Dragon Dusk (18),287992
14692,Dragon Dusk (19),288003
14708,Dragon Dusk (2),287987
14696,Dragon Dusk (20),287999
14697,Dragon Dusk (3),287998
14694,Dragon Dusk (4),288001
14691,Dragon Dusk (5),288004
14695,Dragon Dusk (6),288000
14707,Dragon Dusk (7),287988
14706,Dragon Dusk (8),287989
14699,Dragon Dusk (9),287997
27482,Dragon Fire,285245
28475,Dragon Fire (1),286209
28467,Dragon Fire (10),286211
28468,Dragon Fire (2),286213
28469,Dragon Fire (3),286212
28473,Dragon Fire (4),286210
28476,Dragon Fire (5),286207
28471,Dragon Fire (6),286206
28472,Dragon Fire (7),286204
28474,Dragon Fire (8),286208
28470,Dragon Fire (9),286205
76409,Dragon Ice,295376
11760,Dragon Ice (1),282253
11758,Dragon Ice (10),282251
11755,Dragon Ice (2),282255
11757,Dragon Ice (3),282252
11763,Dragon Ice (4),282257
11761,Dragon Ice (5),282259
11759,Dragon Ice (6),282250
11756,Dragon Ice (7),282256
11762,Dragon Ice (8),282258
11754,Dragon Ice (9),282254
23996,Dragon Inferno,311855
30592,Dragon Inferno (1),307794
30585,Dragon Inferno (10),307790
30591,Dragon Inferno (2),307795
30593,Dragon Inferno (3),307793
30589,Dragon Inferno (4),307787
30594,Dragon Inferno (5),307792
30588,Dragon Inferno (6),307788
30586,Dragon Inferno (7),307791
30590,Dragon Inferno (8),307786
30587,Dragon Inferno (9),307789
51504,Dragon Nightfall,306450
83698,Dragon Nightfall (1),300509
83699,Dragon Nightfall (10),300510
83703,Dragon Nightfall (2),300504
83704,Dragon Nightfall (3),300506
83701,Dragon Nightfall (4),300512
83706,Dragon Nightfall (5),300508
83707,Dragon Nightfall (6),300507
83702,Dragon Nightfall (7),300503
83705,Dragon Nightfall (8),300505
83700,Dragon Nightfall (9),300511
28161,Dragon Spark,311434
21287,Dragon Spark (1),305868
21277,Dragon Spark (10),305878
21270,Dragon Spark (11),305887
21280,Dragon Spark (12),305876
21282,Dragon Spark (13),305875
21271,Dragon Spark (14),305886
21272,Dragon Spark (15),305885
21284,Dragon Spark (16),305871
21281,Dragon Spark (17),305877
21283,Dragon Spark (18),305874
21285,Dragon Spark (19),305872
21279,Dragon Spark (2),305880
21274,Dragon Spark (20),305882
21273,Dragon Spark (3),305884
21275,Dragon Spark (4),305883
21286,Dragon Spark (5),305873
21288,Dragon Spark (6),305869
21278,Dragon Spark (7),305879
21276,Dragon Spark (8),305881
21289,Dragon Spark (9),305870
29927,Dragon Water,276739
38764,Dragon Water (1),283691
38760,Dragon Water (10),283699
38761,Dragon Water (11),283689
38767,Dragon Water (12),283693
38772,Dragon Water (13),283700
38776,Dragon Water (14),283704
38771,Dragon Water (15),283706
38775,Dragon Water (16),283701
38774,Dragon Water (17),283702
38766,Dragon Water (18),283692
38757,Dragon Water (19),283696
38765,Dragon Water (2),283690
38768,Dragon Water (20),283695
38770,Dragon Water (3),283705
38762,Dragon Water (4),283688
38758,Dragon Water (5),283697
38773,Dragon Water (6),283703
38769,Dragon Water (7),283694
38759,Dragon Water (8),283698
38763,Dragon Water (9),283687
19957,Eyeball Mage Green (energy boss),303586
81127,Eyeball Mage Green (energy boss) (1),290534
81131,Eyeball Mage Green (energy boss) (10),290533
81126,Eyeball Mage Green (energy boss) (2),290532
81125,Eyeball Mage Green (energy boss) (3),290531
81128,Eyeball Mage Green (energy boss) (4),290535
81122,Eyeball Mage Green (energy boss) (5),290540
81124,Eyeball Mage Green (energy boss) (6),290538
81123,Eyeball Mage Green (energy boss) (7),290539
81129,Eyeball Mage Green (energy boss) (8),290536
81130,Eyeball Mage Green (energy boss) (9),290537
33055,Fire,273524
15830,Fire (1),283047
15829,Fire (10),283048
15821,Fire (11),283039
15834,Fire (12),283031
15832,Fire (13),283033
15838,Fire (14),283038
15825,Fire (15),283046
15827,Fire (16),283044
15831,Fire (17),283029
15839,Fire (18),283037
15828,Fire (19),283043
15826,Fire (2),283045
15823,Fire (20),283041
15837,Fire (3),283034
15835,Fire (4),283030
15822,Fire (5),283042
15836,Fire (6),283035
15824,Fire (7),283040
15840,Fire (8),283036
15833,Fire (9),283032
61845,Fire Mage,270135
41905,Fire Mage (1),307473
41909,Fire Mage (10),307468
41907,Fire Mage (2),307474
41906,Fire Mage (3),307472
41908,Fire Mage (4),307465
41912,Fire Mage (5),307470
41911,Fire Mage (6),307467
41914,Fire Mage (7),307471
41913,Fire Mage (8),307469
41910,Fire Mage (9),307466
89697,Flame,274383
11531,Flame (1),316532
11527,Flame (10),316530
11532,Flame (2),316531
11536,Flame (3),316533
11529,Flame (4),316528
11530,Flame (5),316529
11534,Flame (6),316534
11533,Flame (7),316536
11535,Flame (8),316535
11528,Flame (9),316527
58459,Fledgling,292235
29988,Fledgling (1),309679
29991,Fledgling (10),309674
29989,Fledgling (2),309681
29993,Fledgling (3),309677
29987,Fledgling (4),309678
29990,Fledgling (5),309673
29992,Fledgling (6),309672
29994,Fledgling (7),309675
29986,Fledgling (8),309680
29995,Fledgling (9),309676
21425,Ghost,289333
35162,Ghost (1),269844
35166,Ghost (10),269846
35163,Ghost (11),269841
35176,Ghost (12),269854
35172,Ghost (13),269853
35179,Ghost (14),269856
35164,Ghost (15),269842
35171,Ghost (16),269849
35175,Ghost (17),269855
35178,Ghost (18),269858
35168,Ghost (19),269848
35169,Ghost (2),269845
35177,Ghost (20),269857
35173,Ghost (3),269851
35170,Ghost (4),269850
35167,Ghost (5),269847
35181,Ghost (6),269860
35180,Ghost (7),269859
35165,Ghost (8),269843
35174,Ghost (9),269852
53054,Gloom,272334
54446,Gloom (1),274787
54431,Gloom (10),274799
54430,Gloom (11),274796
54443,Gloom (12),274783
54439,Gloom (13),274794
54432,Gloom (14),274798
54444,Gloom (15),274785
54437,Gloom (16),274789
54445,Gloom (17),274788
54440,Gloom (18),274792
54433,Gloom (19),274795
54438,Gloom (2),274793
54442,Gloom (20),274784
54434,Gloom (3),274800
54436,Gloom (4),274790
54441,Gloom (5),274782
54435,Gloom (6),274791
54448,Gloom (7),274781
54429,Gloom (8),274797
54447,Gloom (9),274786
59487,Goblin Trooper Mage (gold boss),318147
15421,Goblin Trooper Mage (gold boss) (1),292553
15420,Goblin Trooper Mage (gold boss) (10),292557
15414,Goblin Trooper Mage (gold boss) (11),292563
15426,Goblin Trooper Mage (gold boss) (12),292554
15416,Goblin Trooper Mage (gold boss) (13),292558
15419,Goblin Trooper Mage (gold boss) (14),292555
15424,Goblin Trooper Mage (gold boss) (15),292549
15412,Goblin Trooper Mage (gold boss) (2),292562
15418,Goblin Trooper Mage (gold boss) (3),292556
15413,Goblin Trooper Mage (gold boss) (4),292561
15417,Goblin Trooper Mage (gold boss) (5),292560
15422,Goblin Trooper Mage (gold boss) (6),292552
15415,Goblin Trooper Mage (gold boss) (7),292559
15423,Goblin Trooper Mage (gold boss) (8),292551
15425,Goblin Trooper Mage (gold boss) (9),292550
52311,Goblin golden variant,291708
15843,Goblin golden variant (1),314300
15842,Goblin golden variant (2),314299
15845,Goblin golden variant (3),314302
15844,Goblin golden variant (4),314301
84723,Golem Earth,282490
34758,Golem Earth (1),313682
34768,Golem Earth (10),313690
34756,Golem Earth (11),313683
34753,Golem Earth (12),313686
34755,Golem Earth (13),313685
34754,Golem Earth (14),313684
34759,Golem Earth (15),313681
34766,Golem Earth (16),313695
34765,Golem Earth (17),313694
34767,Golem Earth (18),313696
34752,Golem Earth (19),313687
34769,Golem Earth (2),313691
34757,Golem Earth (20),313680
34762,Golem Earth (3),313697
34763,Golem Earth (4),313692
34771,Golem Earth (5),313689
34760,Golem Earth (6),313678
34761,Golem Earth (7),313679
34770,Golem Earth (8),313688
34764,Golem Earth (9),313693
68661,Golem Fire,315211
11672,Golem Fire (1),286194
11676,Golem Fire (10),286188
11673,Golem Fire (2),286193
11675,Golem Fire (3),286189
11671,Golem Fire (4),286196
11674,Golem Fire (5),286192
11677,Golem Fire (6),286191
11669,Golem Fire (7),286195
11678,Golem Fire (8),286190
11670,Golem Fire (9),286197
69941,Golem Ice,293319
12466,Golem Ice (1),278337
12467,Golem Ice (10),278336
12465,Golem Ice (2),278338
12459,Golem Ice (3),278342
12464,Golem Ice (4),278333
12458,Golem Ice (5),278339
12461,Golem Ice (6),278340
12463,Golem Ice (7),278334
12462,Golem Ice (8),278335
12460,Golem Ice (9),278341
4583,Grim Reaper,11044
77439,Grim Reaper,285210
49995,Grim Reaper (1),319734
49999,Grim Reaper (10),319737
50002,Grim Reaper (2),319741
49998,Grim Reaper (3),319736
49994,Grim Reaper (4),319732
49997,Grim Reaper (5),319738
49993,Grim Reaper (6),319733
50001,Grim Reaper (7),319740
49996,Grim Reaper (8),319735
50000,Grim Reaper (9),319739
52280,Haunt,281297
79329,Haunt (1),273598
79323,Haunt (10),273602
79322,Haunt (2),273601
79325,Haunt (3),273604
79327,Haunt (4),273596
79326,Haunt (5),273595
79320,Haunt (6),273599
79324,Haunt (7),273603
79321,Haunt (8),273600
79328,Haunt (9),273597
29819,Hermit King,277857
92402,Hermit King (1),315898
92397,Hermit King (10),315903
92398,Hermit King (2),315904
92393,Hermit King (3),315899
92399,Hermit King (4),315895
92394,Hermit King (5),315900
92396,Hermit King (6),315902
92395,Hermit King (7),315901
92400,Hermit King (8),315896
92401,Hermit King (9),315897
13782,Horror,279444
20148,Horror (1),277119
20149,Horror (10),277120
20152,Horror (2),277123
20150,Horror (3),277121
20157,Horror (4),277128
20151,Horror (5),277122
20155,Horror (6),277126
20153,Horror (7),277124
20156,Horror (8),277127
20154,Horror (9),277125
53081,Ice,303823
20621,Ice (1),272259
20639,Ice (10),272254
20631,Ice (11),272248
20630,Ice (12),272249
20628,Ice (13),272263
20626,Ice (14),272265
20627,Ice (15),272266
20623,Ice (16),272261
20622,Ice (17),272258
20638,Ice (18),272255
20625,Ice (19),272262
20632,Ice (2),272247
20637,Ice (20),272256
20629,Ice (3),272264
20636,Ice (4),272257
20633,Ice (5),272251
20635,Ice (6),272250
20624,Ice (7),272260
20634,Ice (8),272252
20640,Ice (9),272253
78779,Ice Mage,272699
13101,Ice Mage (1),308103
13099,Ice Mage (10),308106
13104,Ice Mage (2),308108
13102,Ice Mage (3),308104
13096,Ice Mage (4),308100
13098,Ice Mage (5),308101
13097,Ice Mage (6),308102
13103,Ice Mage (7),308107
13105,Ice Mage (8),308109
13100,Ice Mage (9),308105
17381,Icicle,293155
44646,Icicle (1),319594
44648,Icicle (10),319596
44645,Icicle (2),319603
44651,Icicle (3),319599
44650,Icicle (4),319597
44643,Icicle (5),319601
44647,Icicle (6),319595
44649,Icicle (7),319598
44652,Icicle (8),319600
44644,Icicle (9),319602
3007,Image,11009
3015,Image,10694
4362,Image,11043
4787,Image,10671
5868,Image,10729
79961,Imp Demon,287044
65032,Imp Demon (1),277665
65029,Imp Demon (10),277668
65037,Imp Demon (2),277661
65036,Imp Demon (3),277660
65033,Imp Demon (4),277664
65035,Imp Demon (5),277662
65031,Imp Demon (6),277666
65034,Imp Demon (7),277663
65028,Imp Demon (8),277669
65030,Imp Demon (9),277667
3654,Imp Devil,11032
66001,Imp Devil,287549
27391,Imp Devil (1),318421
27385,Imp Devil (10),318427
27387,Imp Devil (2),318426
27386,Imp Devil (3),318425
27390,Imp Devil (4),318422
27383,Imp Devil (5),318430
27382,Imp Devil (6),318429
27389,Imp Devil (7),318423
27388,Imp Devil (8),318424
27384,Imp Devil (9),318428
66004,Imp Mischief,303004
25224,Imp Mischief (1),278128
25225,Imp Mischief (10),278127
25228,Imp Mischief (11),278134
25220,Imp Mischief (12),278124
25233,Imp Mischief (13),278119
25234,Imp Mischief (14),278118
25222,Imp Mischief (15),278129
25226,Imp Mischief (16),278135
25235,Imp Mischief (17),278123
25227,Imp Mischief (18),278133
25230,Imp Mischief (19),278137
25221,Imp Mischief (2),278131
25231,Imp Mischief (20),278136
25218,Imp Mischief (3),278126
25229,Imp Mischief (4),278132
25223,Imp Mischief (5),278130
25237,Imp Mischief (6),278121
25232,Imp Mischief (7),278120
25219,Imp Mischief (8),278125
25236,Imp Mischief (9),278122
83414,Lurker,311925
64846,Lurker (1),296673
64857,Lurker (10),296662
64856,Lurker (11),296663
64845,Lurker (12),296674
64852,Lurker (13),296667
64851,Lurker (14),296669
64854,Lurker (15),296666
64839,Lurker (16),296681
64855,Lurker (17),296664
64850,Lurker (18),296670
64847,Lurker (19),296671
64842,Lurker (2),296677
64838,Lurker (20),296680
64844,Lurker (3),296675
64848,Lurker (4),296672
64840,Lurker (5),296678
64841,Lurker (6),296679
64849,Lurker (7),296668
64853,Lurker (8),296665
64843,Lurker (9),296676
61843,Mimic Chest Gold,271382
67526,Mimic Chest Gold (1),274396
67524,Mimic Chest Gold (2),274395
67523,Mimic Chest Gold (3),274393
67527,Mimic Chest Gold (4),274397
67525,Mimic Chest Gold (5),274394
68156,Nightmare,280482
58871,Nightmare (1),272268
58870,Nightmare (10),272276
58879,Nightmare (2),272272
58875,Nightmare (3),272267
58876,Nightmare (4),272273
58877,Nightmare (5),272274
58878,Nightmare (6),272275
58872,Nightmare (7),272269
58874,Nightmare (8),272271
58873,Nightmare (9),272270
41863,Phantom,289519
23444,Phantom (1),276355
23439,Phantom (10),276360
23443,Phantom (2),276356
23440,Phantom (3),276362
23437,Phantom (4),276359
23441,Phantom (5),276354
23438,Phantom (6),276361
23442,Phantom (7),276353
23446,Phantom (8),276357
23445,Phantom (9),276358
4628,Shell,10899
74004,Shell,292337
51114,Shell (1),306462
51126,Shell (10),306454
51130,Shell (11),306459
51119,Shell (12),306468
51127,Shell (13),306453
51129,Shell (14),306451
51124,Shell (15),306465
51133,Shell (16),306456
51132,Shell (17),306457
51121,Shell (18),306466
51115,Shell (19),306461
51123,Shell (2),306463
51117,Shell (20),306470
51118,Shell (3),306469
51131,Shell (4),306458
51120,Shell (5),306467
51122,Shell (6),306464
51128,Shell (7),306452
51125,Shell (8),306455
51116,Shell (9),306460
38858,Snake,318701
44722,Snake (1),307800
44729,Snake (10),307806
44730,Snake (2),307805
44723,Snake (3),307799
44728,Snake (4),307801
44726,Snake (5),307803
44725,Snake (6),307804
44727,Snake (7),307802
44724,Snake (8),307798
44731,Snake (9),307807
46522,Snake Naga,272781
60734,Snake Naga (1),319107
60730,Snake Naga (10),319104
60733,Snake Naga (2),319106
60736,Snake Naga (3),319102
60732,Snake Naga (4),319105
60735,Snake Naga (5),319108
60731,Snake Naga (6),319103
60737,Snake Naga (7),319111
