map_num,map_id,map_name,perk_id,perk_name,perk_key,is_default_perk,is_astral_group,upgrade_object_path_id,upgrade_field_name,upgrade_title,upgrade_short_desc,upgrade_long_desc,base_cost,max_level,base_amt,stat_amt,wave_req,purpose_categories,source_behaviour_path_id,gameobject_path_id
2,map2,Snow Fort,14,map2_masteryExpMage,masteryExpMage,0,0,257153,masteryExpMage,2x Mastery Exp Chance (Mage),+VALUE% 2x Mastery Exp Chance (Mage),Increases the chance that Mage heroes gain 2x Skill Mastery exp.,25,5,10,2,45000,exp|skill_spell,288385,70174
2,map2,Snow Fort,15,map2_masterySkillPower,masterySkillPower,0,0,259914,masterySkillPower,Mastery Skill Power,+VALUE% Mastery Skill Power,Increases the effects of a hero's skill mastery.,10,10,3,1,35000,exp|skill_spell,288388,70172
3,map3,Barren Desert,16,map3_range,range,1,0,260663,range,Range,+VALUE% Range,"Increases the distance that a hero can ""see"" to attack an enemy or synergize with other heroes.",1,10,30,2,0,alcance,288367,70137
3,map3,Barren Desert,17,map3_rankExpPct,rankExpPct,1,0,267932,killExpPct,Rank Exp (%),+VALUE% Rank Exp,Increases the rank exp that a hero earns from killing enemies.,3,10,25,1,0,exp,288363,70143
3,map3,Barren Desert,18,map3_trainerSpawns,trainerSpawns,1,0,263439,trainerSpawns,Training Dummy Spawns,+VALUE Training Dummy Spawns,Increases the number of Training Dummies spawned when summoning this ultra boss.,50,1,1,1,0,boss|ritmo_mapa,288356,70149
3,map3,Barren Desert,19,map3_superExpChance,superExpChance,0,0,261037,bonusKillExpChance,Super Exp Chance,+VALUE% Super Exp Chance,Increases the chance that a hero earns super exp from killing an enemy (base 3x normal exp).,5,10,5,1,0,exp|skill_spell,288380,70180
3,map3,Barren Desert,20,map3_superExpAmount,superExpAmount,0,0,259602,bonusKillExpAmount,Super Exp Amount,+VALUE% Super Exp Amount,Increases the hero rank exp earned when super exp chance is triggered (base 3x normal exp).,5,10,25,5,0,exp|skill_spell,288381,70178
3,map3,Barren Desert,21,map3_extraBossChance,extraBossChance,0,0,260621,extraBossChance,Extra Boss Chance,+VALUE% Extra Boss Chance,Increases the chance that a boss will spawn as an extra enemy (on any wave). Useful for grinding extra resources from boss kills. Can be toggled on/off in the settings menu.,5,5,10,1,0,boss,288396,70160
3,map3,Barren Desert,22,map3_mimicBossChance,mimicBossChance,0,0,256336,mimicChestSpawnChance,Mimic Boss Chance,+VALUE% Mimic Boss Chance,"Increases the chance that a Wave Boss spawns as a Golden Mimic Chest, which rewards 3x more gold, 2x more exp, and +15x wave energy income (accounts for super/ultra chance) when killed. There is also a 1% chance that the chest will reward +1 gem when killed, for a maximum of 100 gems per day (currently at FORMULA/100 today). This enemy is still classified as a boss, so all boss damage and resource bonuses still apply. The spawn chance is halved from Automation spawns.",10,5,2,1,35000,dano|ouro|exp|energia|boss,288398,70158
3,map3,Barren Desert,23,map3_milestoneBonus,milestoneBonus,0,0,262387,milestoneBonus,Milestone Bonus,+VALUE% Milestone Bonus,Increases the bonus stats earned from hero level milestones.,15,10,5,1,45000,milestone,288391,70169
3,map3,Barren Desert,55,map3_mimicExp,mimicExp,0,0,265306,mimicChestExp,Mimic Exp,+VALUE% Mimic Exp,Increases the amount of rank exp that the Golden Mimic Chest rewards when killed (initial reward is 2x boss exp).,15,10,5,3,35000,ouro|exp|boss,288387,70171
4,map4,Haunted Cemetery,24,map4_skillCooldown,skillCooldown,1,0,267061,skillCd,Skill Cooldown,-VALUE% Skill Cooldown,Reduces the time a hero must wait before using a skill again.,1,10,25,1,0,skill_spell,288401,70161
4,map4,Haunted Cemetery,25,map4_prestigePower,prestigePower,1,0,266979,prestigePoints,Prestige Power,+VALUE% Prestige Power,Increases the amount of prestige power earned when you prestige.,1,10,100,10,0,prestige,288354,70150
4,map4,Haunted Cemetery,26,map4_battlepassExp,battlepassExp,1,0,263068,battlepassExpPct,Battlepass Exp (%),+VALUE% Battlepass Exp,Increases the amount of battlepass exp you earn from completing waves.,10,5,25,3,0,exp|ritmo_mapa,288366,70138
4,map4,Haunted Cemetery,27,map4_range,range,0,0,260663,range,Range,+VALUE% Range,"Increases the distance that a hero can ""see"" to attack an enemy or synergize with other heroes.",2,10,15,2,0,alcance,288365,70140
4,map4,Haunted Cemetery,28,map4_wavePerkWaves,wavePerkWaves,0,0,257081,wavePerkWaves,Wave Perk Waves,-VALUE% Wave Perk Waves,Reduces the number of waves required to unlock your next Wave Perk.,8,5,3,1,0,ritmo_mapa,288389,70168
4,map4,Haunted Cemetery,29,map4_bossRushSkip,bossRushSkip,0,0,265052,bossRushSkippedWaves,Boss Rush Waves,+VALUE Boss Rush Waves,"Increases the number of waves skipped while boss rushing. Bosses will still spawn on every wave, even if it's not a multiple of 10.",15,4,1,1,35000,boss|ritmo_mapa,288368,70136
4,map4,Haunted Cemetery,30,map4_masteryExpMelee,masteryExpMelee,0,0,257723,masteryExpMelee,2x Mastery Exp Chance (Melee),+VALUE% 2x Mastery Exp Chance (Melee),Increases the chance that Melee heroes gain 2x Skill Mastery exp.,25,5,10,2,45000,exp|skill_spell,288364,70139
4,map4,Haunted Cemetery,31,map4_enemySpawnSpeed,enemySpawnSpeed,0,0,259018,enemySpawnSpeed,Enemy Spawn Speed,+VALUE% Enemy Spawn Speed,"Increases the rate at which enemies spawn, therefore increasing your kills and waves per hour.",15,5,5,1,35000,ritmo_mapa,288404,70155
5,map5,Lava Dungeon,32,map5_damage,damage,1,0,259153,dmg,Damage,+VALUE% Damage,Increases the damage of all heroes.,3,10,75,10,0,dano,288383,70177
5,map5,Lava Dungeon,33,map5_gold,gold,1,0,261126,killGold,Kill Gold,+VALUE% Kill Gold,Increases the amount of gold earned from killing enemies.,3,10,50,10,0,ouro,288361,70142
5,map5,Lava Dungeon,34,map5_attSpeed,attSpeed,1,0,265186,attSpeed,Attack Speed,+VALUE% Attack Speed,Increases the speed at which a hero can attack.,5,5,15,2,0,dano,288402,70157
5,map5,Lava Dungeon,35,map5_splashDmg,splashDmg,1,0,258699,splashDamage,Splash Damage,+VALUE% Splash Damage,Increases the amount of splash damage each attack deals to nearby enemies.,5,5,10,2,0,dano,288370,70135
5,map5,Lava Dungeon,36,map5_superCritChance,superCritChance,0,0,265167,superCritChance,Super Crit Chance,+VALUE% Super Crit Chance,Increases the chance that a hero's attack deals super critical damage (base 3x crit damage).,8,10,15,3,0,dano,288403,70156
5,map5,Lava Dungeon,37,map5_superCritDmg,superCritDmg,0,0,268219,superCritDmg,Super Crit Damage,+VALUE% Super Crit Damage,Increases the damage dealt when a hero's super critical chance is triggered (base 3x crit damage).,8,10,75,15,0,dano,288351,70153
5,map5,Lava Dungeon,38,map5_superGoldChance,superGoldChance,0,0,260085,bonusKillGoldChance,Super Gold Chance,+VALUE% Super Gold Chance,Increases the chance to earn super gold from killing an enemy (base 3x normal gold).,8,10,15,3,0,ouro|skill_spell,288374,70130
5,map5,Lava Dungeon,39,map5_superGoldAmount,superGoldAmount,0,0,259075,bonusKillGoldAmount,Super Gold Amount,+VALUE% Super Gold Amount,Increases the amount of gold earned when super gold chance is triggered (base 3x normal gold).,8,10,75,15,0,ouro|skill_spell,288390,70170
6,map6,Sunny Farm,40,map6_energyIncome,energyIncome,1,0,258907,energyIncome,Energy Income,+VALUE Energy Income,Increases the amount of energy you earn from completing waves.,3,5,5,1,0,energia|ritmo_mapa,288359,70144
6,map6,Sunny Farm,41,map6_superEnergyChance,superEnergyChance,1,0,264602,bonusEnergyIncomeChance,Super Energy Chance,+VALUE% Super Energy Chance,Increases the chance to earn super energy income from completing waves (base 3x normal energy income).,5,10,5,1,0,energia|ritmo_mapa,288405,70154
6,map6,Sunny Farm,42,map6_superEnergyAmount,superEnergyAmount,1,0,259601,bonusEnergyIncomeAmount,Super Energy Amount,+VALUE% Super Energy Amount,Increases the amount of energy income earned when super income chance is triggered (base 3x normal energy income).,5,10,10,5,0,energia,288375,70129
6,map6,Sunny Farm,43,map6_spellCooldown,spellCooldown,1,0,259067,spellCd,Spell Cooldown,-VALUE% Spell Cooldown,Reduces the time you must wait before a spell becomes available again.,10,10,15,1,0,skill_spell,288378,70181
6,map6,Sunny Farm,44,map6_powerMageSpawns,powerMageSpawns,0,0,264822,producerSpawns,Power Mage Spawns,+VALUE Power Mage Spawns,Increases the number of Power Mages spawned when summoning this ultra boss.,8,3,1,1,0,energia|boss,288360,70146
6,map6,Sunny Farm,45,map6_powerMageCooldown,powerMageCooldown,0,0,267870,producerCd,Power Mage Cooldown,-VALUE% Power Mage Cooldown,Reduces the time you must wait before spawning the Power Mage ultra boss again.,5,10,5,1,0,energia|boss|skill_spell,288353,70152
6,map6,Sunny Farm,46,map6_powerMageGoldenChance,powerMageGoldenChance,0,0,266236,goldenProducerChance,Golden Mage Chance,+VALUE% Golden Mage Chance,"Increases the chance that a Power Mage spawns as the Golden variant, which rewards 10x more energy. The spawn chance is halved from Automation spawns.",10,5,2,1,35000,ouro|energia,288355,70147
6,map6,Sunny Farm,47,map6_instantSpellChance,instantSpellChance,0,0,258718,spellCdInstantChance,Instant Spell Chance,+VALUE% Instant Spell Chance,Increases the chance that a spell is instantly cooled down after each use.,15,5,2,1,45000,skill_spell,288392,70166
7,map7,Astral Battleground,48,map7_dmgGroup1,dmgGroup1,1,1,261338,astralDmgGroupPerks1,Damage Group Perks,+VALUE% Damage Group Perks,Increases the effect of all Damage Group Perks on the Astral Battlegrounds map.,6,10,0,10,0,dano,288382,70179
7,map7,Astral Battleground,49,map7_goldGroup2,goldGroup2,1,1,257399,astralGoldGroupPerks2,Gold Group Perks,+VALUE% Gold Group Perks,Increases the effect of all Gold Group Perks on the Astral Battlegrounds map.,8,10,0,10,0,ouro,288393,70165
7,map7,Astral Battleground,50,map7_expGroup3,expGroup3,1,1,265562,astralExpGroupPerks3,Exp Group Perks,+VALUE% Exp Group Perks,Increases the effect of all Exp Group Perks on the Astral Battlegrounds map.,10,10,0,10,0,exp,288379,70176
7,map7,Astral Battleground,51,map7_energyGroup4,energyGroup4,1,1,269007,astralEnergyGroupPerks4,Energy Group Perks,+VALUE% Energy Group Perks,Increases the effect of all EnergyGroup Perks on the Astral Battlegrounds map.,10,10,0,10,0,energia,288400,70162
7,map7,Astral Battleground,52,map7_bossGroup5,bossGroup5,1,1,257956,astralBossGroupPerks5,Boss Group Perks,+VALUE% Boss Group Perks,Increases the effect of all Boss Group Perks on the Astral Battlegrounds map.,10,10,0,10,0,boss,288384,70175
7,map7,Astral Battleground,53,map7_skillGroup6,skillGroup6,1,1,266977,astralSkillGroupPerks6,Skill Group Perks,+VALUE% Skill Group Perks,Increases the effect of all Skill Group Perks on the Astral Battlegrounds map.,8,10,0,10,0,skill_spell,288358,70145
7,map7,Astral Battleground,54,map7_synergyGroup7,synergyGroup7,1,1,265152,astralSynergyGroupPerks7,Synergy Group Perks,+VALUE% Synergy Group Perks,Increases the effect of all Synergy Group Perks on the Astral Battlegrounds map.,10,10,0,10,0,sinergia,288369,70134
