index,field_name,upgrade_object_path_id,file_id,gameobject_name,title,blank_desc,short_desc,long_desc,icon_path_id,color_r,color_g,color_b,color_a
26,masteryExpMage,257153,0,mastery 2x exp chance (mage),2x Mastery Exp Chance (Mage),+<value>%,<color=yellow>+<value>%</color> 2x Mastery Exp Chance (Mage),Increases the chance that Mage heroes gain 2x Skill Mastery exp.,2937,0.0,1.0,1.0,1.0
27,masteryExpRange,267541,0,mastery 2x exp chance (range),2x Mastery Exp Chance (Range),+<value>%,<color=yellow>+<value>%</color> 2x Mastery Exp Chance (Range),Increases the chance that Range heroes gain 2x Skill Mastery exp.,2937,0.0,1.0,1.0,1.0
28,masteryExp,257990,0,mastery 2x exp chance (all),2x Mastery Exp Chance,+<value>%,<color=yellow>+<value>%</color> 2x Mastery Exp Chance,Increases the chance that a hero gains 2x Skill Mastery exp.,2937,0.0,1.0,1.0,1.0
29,spellMaxLevel,257757,0,spell max level,Spell Max Level,+<value>,<color=yellow>+<value></color> Max Level,Increases the maximum level that a spell can be upgraded to.,2420,0.0,0.7843137383460999,0.7843137383460999,1.0
30,spellDuration,264644,0,spell duration,Spell Duration,+<value>s,<color=yellow>+<value>s</color> Spell Duration,Increases the time that a spell remains active.,2388,0.0,0.7843137383460999,0.7843137383460999,1.0
31,spellCd,259067,0,spell cd,Spell Cooldown,-<value>%,<color=yellow>-<value>%</color> Spell Cooldown,Reduces the time you must wait before a spell becomes available again.,2916,0.0,0.7843137383460999,0.7843137383460999,1.0
32,spellCdInstantChance,258718,0,spell cd instant chance,Instant Spell Chance,+<value>%,<color=yellow>+<value>%</color> Instant Spell Chance,Increases the chance that a spell is instantly cooled down after each use.,2916,0.0,0.7843137383460999,0.7843137383460999,1.0
33,spellCdInstantChanceBlizzard,259252,0,spell cd instant chance (blizzard),Instant Blizzard,+<value>%,<color=yellow>+<value>%</color> Instant Blizzard,Increases the chance that the Blizzard spell is instantly cooled down after each use.,2916,0.0,0.7843137383460999,0.7843137383460999,1.0
34,spellCdInstantChanceAgility,256739,0,spell cd instant chance (agility),Instant Agility,+<value>%,<color=yellow>+<value>%</color> Instant Agility,Increases the chance that the Agility spell is instantly cooled down after each use.,2916,0.0,0.7843137383460999,0.7843137383460999,1.0
35,spellCdInstantChanceAccelerate,259044,0,spell cd instant chance (accelerate),Instant Accelerate,+<value>%,<color=yellow>+<value>%</color> Instant Accelerate,Increases the chance that the Accelerate spell is instantly cooled down after each use.,2916,0.0,0.7843137383460999,0.7843137383460999,1.0
36,spellCdInstantChanceRagsToRiches,256958,0,spell cd instant chance (rags to riches),Instant Rags to Riches,+<value>%,<color=yellow>+<value>%</color> Instant Rags to Riches,Increases the chance that the Rags to Riches spell is instantly cooled down after each use.,2916,0.0,0.7843137383460999,0.7843137383460999,1.0
37,spellCdInstantChanceTrainee,257892,0,spell cd instant chance (trainee),Instant Trainee,+<value>%,<color=yellow>+<value>%</color> Instant Trainee,Increases the chance that the Trainee spell is instantly cooled down after each use.,2916,0.0,0.7843137383460999,0.7843137383460999,1.0
38,spellCdInstantChancePowerPlant,262946,0,spell cd instant chance (power plant),Instant Power Plant,+<value>%,<color=yellow>+<value>%</color> Instant Power Plant,Increases the chance that the Power Plant spell is instantly cooled down after each use.,2916,0.0,0.7843137383460999,0.7843137383460999,1.0
39,spellCdInstantChanceTimeWarp,266323,0,spell cd instant chance (time warp),Instant Time Warp,+<value>%,<color=yellow>+<value>%</color> Instant Time Warp,Increases the chance that the Time Warp spell is instantly cooled down after each use.,2916,0.0,0.7843137383460999,0.7843137383460999,1.0
40,enemyMoveSpeed,259134,0,enemy move speed,Enemy Move Speed,-<value>%,<color=yellow>-<value>%</color> Enemy Move Speed,Reduces the movement speed of all enemies.,2812,0.501960813999176,0.0,0.0,1.0
41,enemyHp,259454,0,enemy hp,Enemy HP,-<value>%,<color=yellow>-<value>%</color> Enemy HP,Reduces the base health of all enemies.,2418,0.501960813999176,0.0,0.0,1.0
42,enemyHpScalingReduction,261240,0,enemy hp scaling reduction,Enemy HP Scaling,-<value>%,<color=yellow>-<value>%</color> Enemy HP Scaling,"Reduces the scaling of enemy HP after <i>every wave</i> (this means it has a multiplicative effect with each wave, resulting in potentially huge reductions).",2358,0.501960813999176,0.0,0.0,1.0
43,enemyHpSkipChance,267956,0,enemy hp skip chance,Enemy HP Skip Chance,+<value>%,<color=yellow>+<value>%</color> Enemy HP Skip Chance,"After each wave, there is a chance that the enemy's HP does not increase.",2418,0.501960813999176,0.0,0.0,1.0
44,enemySpeed,265153,0,enemy speed,Enemy Speed,-<value>%,<color=yellow>-<value>%</color> Enemy Speed,Reduces the base movement speed of all enemies.,2908,0.501960813999176,0.0,0.0,1.0
45,enemySkillImmuneLimit,256395,0,enemy skill immune limit,Enemy Immunity Limit,+<value>,<color=yellow>+<value></color> Enemy Immunity Limit,Increases the number of times a debuff skill can be used on an enemy before it becomes immune to it (default limit is 3).,2433,0.501960813999176,0.0,0.0,1.0
46,enemySpawnSpeed,259018,0,enemy spawn speed,Enemy Spawn Speed,+<value>%,<color=yellow>+<value>%</color> Enemy Spawn Speed,"Increases the rate at which enemies spawn, therefore increasing your kills and waves per hour.",2424,0.501960813999176,0.0,0.0,1.0
47,shadowAlienHpReduction,262325,0,shadow alien hp reduction,Shadow/Alien HP Reduction,+<value>%,<color=yellow>+<value>%</color> Shadow/Alien HP Reduction,Increases the effect of spending gems to reduce the HP of Ancient Shadows and Exotic Aliens (additive to the base 75%).,2418,0.501960813999176,0.0,0.0,1.0
48,shadowAlienHpScaling,266373,0,shadow alien hp scaling,Shadow/Alien HP Scaling,-<value>%,<color=yellow>-<value>%</color> Shadow/Alien HP Scaling,Reduces the rate at which the Ancient Shadow and Exotic Alien’s HP scales up after each successive kill (on all <i>future</i> kills).,2418,0.501960813999176,0.0,0.0,1.0
49,shadowAlienHpSkip,268058,0,shadow alien hp skip,Shadow/Alien HP Skip,+<value>%,<color=yellow>+<value>%</color> Shadow/Alien HP Skip,Increases the chance that the Ancient Shadow and Exotic Alien’s HP does NOT increase after killing it.,2418,0.501960813999176,0.0,0.0,1.0
50,extraBossChance,260621,0,extra boss chance,Extra Boss Chance,+<value>%,<color=yellow>+<value>%</color> Extra Boss Chance,Increases the chance that a boss will spawn as an extra enemy (on any wave). Useful for grinding extra resources from boss kills. Can be toggled on/off in the settings menu.,2935,0.501960813999176,0.0,0.0,1.0
51,bossDmg,266209,0,boss dmg,Boss Damage,+<value>%,<color=yellow>+<value>%</color> Boss Damage,Increases the damage dealt to bosses (only the normal bosses on every 10th wave - not Ultra Bosses).,2360,0.686274528503418,0.0,0.0,1.0
52,ultraBossDmg,256126,0,Font Material,Ultra Boss Damage,+<value>%,<color=yellow>+<value>%</color> Ultra Boss Damage,"Increases the damage dealt to Ultra Bosses (Goblin Hoarder, Training Dummy, Ancient Shadow, etc).",2360,0.4901960790157318,0.0,0.0,1.0
53,bossGold,260513,0,boss gold,Boss Gold,+<value>%,<color=yellow>+<value>%</color> Boss Gold,Increases the gold rewarded from killing bosses (only the normal bosses on every 10th wave - not Ultra Bosses).,2890,0.8705882430076599,0.8705882430076599,0.0,1.0
54,bossExp,261243,0,boss exp,Boss Exp,+<value>%,<color=yellow>+<value>%</color> Boss Exp,Increases the rank exp rewarded from killing bosses (only the normal bosses on every 10th wave - not Ultra Bosses).,2726,0.0,0.5882353186607361,0.8823529481887817,1.0
55,mimicChestSpawnChance,256336,0,mimic chest spawn chance,Mimic Boss Chance,+<value>%,<color=yellow>+<value>%</color> Mimic Boss Chance,"Increases the chance that a Wave Boss spawns as a <color=orange>Golden Mimic Chest</color>, which rewards <color=yellow>3x more gold</color>, <color=#19AFFF>2x more exp</color>, and <color=green>+15x wave energy income</color> (accounts for super/ultra chance) when killed. There is also a 1% chance that the chest will reward <color=#00FFFF>+1 gem</color> when killed, for a maximum of 100 gems per day (currently at <formula>/100 today).<br><br>This enemy is still classified as a boss, so all boss damage and resource bonuses still apply. The spawn chance is halved from Automation spawns.",2468,0.501960813999176,0.0,0.0,1.0
56,mimicChestGold,265941,0,mimic chest gold,Mimic Gold,+<value>%,<color=yellow>+<value>%</color> Mimic Gold,Increases the amount of gold that the <color=orange>Golden Mimic Chest</color> rewards when killed (initial reward is 3x boss gold).,2468,0.8705882430076599,0.8705882430076599,0.0,1.0
57,mimicChestExp,265306,0,mimic chest exp,Mimic Exp,+<value>%,<color=yellow>+<value>%</color> Mimic Exp,Increases the amount of rank exp that the <color=orange>Golden Mimic Chest</color> rewards when killed (initial reward is 2x boss exp).,2468,0.0,0.5882353186607361,0.8823529481887817,1.0
58,mimicChestEnergy,261870,0,mimic chest energy,Mimic Energy,+<value>%,<color=yellow>+<value>%</color> Mimic Energy,Increases the amount of energy that the <color=orange>Golden Mimic Chest</color> rewards when killed (initial reward is 15x wave income).,2468,0.0,0.8705882430076599,0.0,1.0
59,mimicChestPrestigePower,256141,0,Fruit Jelly (B&W),Mimic Prestige Power,+<value>%,<color=yellow>+<value>%</color> Mimic Prestige Power,"Increases the amount of Prestige Power that the <color=orange>Golden Mimic Chest</color> rewards when killed (it initially does not reward any before this upgrade is purchased). The rewarded Prestige Power is calculated based on the current wave the enemy is killed on.<br><br>For example, if you have +50% Mimic Prestige Power upgrades, and kill the Mimic at wave 25k, you would receive 50% of the Prestige Power you would gain from Prestiging at wave 25k.",2468,0.686274528503418,0.0,1.0,1.0
60,mimicMaxGems,261754,0,mimic chest max gems,Mimic Max Gems,+<value>,<color=yellow>+<value></color> Mimic Max Gems,Increases the maximum daily limit of gems that can be earned from the <color=orange>Golden Mimic Chest</color>.,2468,0.0,1.0,1.0,1.0
61,killExpFlat,266012,0,rank exp,Rank Exp,+<value>,<color=yellow>+<value></color> Rank Exp,Increases the rank exp that a hero earns from killing enemies.,2880,0.09803921729326248,0.686274528503418,1.0,1.0
62,killExpPct,267932,0,rank exp (%),Rank Exp (%),+<value>%,<color=yellow>+<value>%</color> Rank Exp,Increases the rank exp that a hero earns from killing enemies.,2880,0.09803921729326248,0.686274528503418,1.0,1.0
63,progressiveRankExp,263426,0,rank exp (progressive),Progressive Rank Exp,+<value>,<color=yellow>+<value></color> Rank Exp,"The amount of rank exp rewarded by this upgrade increases with each level.<br>The more of this upgrade you have, the more powerful it becomes.<br><formula>",2880,0.09803921729326248,0.686274528503418,1.0,1.0
64,rankAttributePoints,264215,0,rank attribute points,Attribute Points,+<value>,<color=yellow>+<value>%</color> Attribute Points,Increases the amount of Attribute Points earned from each new hero rank. This is a retroactive upgrade (it will automatically reward you the bonus AP from your previous ranks).,2904,0.09803921729326248,0.686274528503418,1.0,1.0
65,bonusKillExpChance,261037,0,super exp chance,Super Exp Chance,+<value>%,<color=yellow>+<value>%</color> Super Exp Chance,Increases the chance that a hero earns super exp from killing an enemy (base 3x normal exp).,2528,0.09825562685728073,0.624824047088623,0.9056603908538818,1.0
66,bonusKillExpAmount,259602,0,super exp amount,Super Exp Amount,+<value>%,<color=yellow>+<value>%</color> Super Exp Amount,Increases the hero rank exp earned when super exp chance is triggered (base 3x normal exp).,2528,0.09825562685728073,0.624824047088623,0.9056603908538818,1.0
67,ultraExpChance,264966,0,ultra exp chance,Ultra Exp Chance,+<value>%,<color=yellow>+<value>%</color> Ultra Exp Chance,Increases the chance that a hero earns ultra exp from killing an enemy (base 3x super exp).,2888,0.0,0.5522990226745605,0.849056601524353,1.0
68,ultraExpAmount,264678,0,ultra exp amount,Ultra Exp Amount,+<value>%,<color=yellow>+<value>%</color> Ultra Exp Amount,Increases the hero rank exp earned when ultra exp chance is triggered (base 3x super exp).,2888,0.0,0.5522990226745605,0.849056601524353,1.0
69,killGold,261126,0,gold drop,Kill Gold,+<value>%,<color=yellow>+<value>%</color> Kill Gold,Increases the amount of gold earned from killing enemies.,2422,1.0,1.0,0.0,1.0
70,bonusKillGoldChance,260085,0,super gold chance,Super Gold Chance,+<value>%,<color=yellow>+<value>%</color> Super Gold Chance,Increases the chance to earn super gold from killing an enemy (base 3x normal gold).,2892,0.9150943160057068,0.9150943160057068,0.04748131334781647,1.0
71,bonusKillGoldAmount,259075,0,super gold amount,Super Gold Amount,+<value>%,<color=yellow>+<value>%</color> Super Gold Amount,Increases the amount of gold earned when super gold chance is triggered (base 3x normal gold).,2892,0.9150943160057068,0.9150943160057068,0.04748131334781647,1.0
72,ultraGoldChance,258350,0,ultra gold chance,Ultra Gold Chance,+<value>%,<color=yellow>+<value>%</color> Ultra Gold Chance,Increases the chance to earn ultra gold from killing an enemy (base 3x super gold).,2369,0.8679245114326477,0.8679245114326477,0.06140974536538124,1.0
73,ultraGoldAmount,258397,0,ultra gold amount,Ultra Gold Amount,+<value>%,<color=yellow>+<value>%</color> Ultra Gold Amount,Increases the amount of gold earned when ultra gold chance is triggered (base 3x super gold).,2369,0.8679245114326477,0.8679245114326477,0.06140974536538124,1.0
74,startingGold,256508,0,starting gold,Starting Gold,+<value>%,<color=yellow>+<value>%</color> Starting Gold,Increases the amount of gold you start a round with after Prestige. The % is based off the gold value in the store's 100 gem 'Starter Resource Pack'.,2873,1.0,1.0,0.0,1.0
75,energyIncome,258907,0,energy income,Energy Income,+<value>,<color=yellow>+<value></color> Energy Income,Increases the amount of energy you earn from completing waves.,2423,0.0,1.0,0.0,1.0
76,energyIncomePct,261224,0,energy income (%),Energy Income (%),+<value>%,<color=yellow>+<value>%</color> Energy Income,Increases the amount of energy you earn from completing waves.,2423,0.0,1.0,0.0,1.0
77,bonusEnergyIncomeChance,264602,0,super energy chance,Super Energy Chance,+<value>%,<color=yellow>+<value>%</color> Super Energy Chance,Increases the chance to earn super energy income from completing waves (base 3x normal energy income).,2361,0.04699181765317917,0.9056603908538818,0.04699181765317917,1.0
78,bonusEnergyIncomeAmount,259601,0,super energy amount,Super Energy Amount,+<value>%,<color=yellow>+<value>%</color> Super Energy Amount,Increases the amount of energy income earned when super income chance is triggered (base 3x normal energy income).,2361,0.04699181765317917,0.9056603908538818,0.04699181765317917,1.0
79,ultraIncomeChance,268115,0,ultra energy chance,Ultra Energy Chance,+<value>%,<color=yellow>+<value>%</color> Ultra Energy Chance,Increases the chance to earn ultra energy income from completing waves (base 3x super energy income).,2896,0.03484334424138069,0.8207547068595886,0.03484334424138069,1.0
80,ultraIncomeAmount,258763,0,ultra energy amount,Ultra Energy Amount,+<value>%,<color=yellow>+<value>%</color> Ultra Energy Amount,Increases the amount of energy income earned when ultra income chance is triggered (base 3x super energy income).,2896,0.03484334424138069,0.8207547068595886,0.03484334424138069,1.0
81,prestigePoints,266979,0,prestige power,Prestige Power,+<value>%,<color=yellow>+<value>%</color> Prestige Power,Increases the amount of prestige power earned when you prestige.,2928,0.686274528503418,0.0,1.0,1.0
82,prestigeIntroSkip,261223,0,prestige intro skip,Intro Skip,+<value>%,<color=yellow>+<value>%</color> Intro Skip,Increases the number of early waves instantly skipped after prestige. The skip percent value is based off your last prestige wave. Free hero levels and enemy hp skip chances will be applied to all skipped waves.,2424,0.686274528503418,0.0,1.0,1.0
83,hoarderSpawns,265297,0,hoarder num spawns,Goblin Hoarder Spawns,+<value>,<color=yellow>+<value></color> Goblin Spawns,Increases the number of Goblins spawned when summoning this ultra boss.,2356,0.686274528503418,0.19607843458652496,0.19607843458652496,1.0
84,hoarderGold,262200,0,hoarder gold,Goblin Hoarder Gold,+<value>%,<color=yellow>+<value>%</color> Goblin Gold,Increases the amount of gold earned from killing the Goblin Hoarder ultra boss.,2912,0.8705882430076599,0.8705882430076599,0.0,1.0
85,hoarderCd,259621,0,hoarder cooldown,Goblin Hoarder Cooldown,-<value>%,<color=yellow>-<value>%</color> Goblin Cooldown,Reduces the time you must wait before spawning the Goblin Hoarder ultra boss again.,2911,0.7843137383460999,0.7843137383460999,0.7843137383460999,1.0
86,producerSpawns,264822,0,producer num spawns,Power Mage Spawns,+<value>,<color=yellow>+<value></color> Power Mage Spawns,Increases the number of Power Mages spawned when summoning this ultra boss.,2356,0.686274528503418,0.19607843458652496,0.19607843458652496,1.0
87,producerEnergy,257373,0,producer energy,Power Mage Energy,+<value>%,<color=yellow>+<value>%</color> Power Mage Energy,Increases the amount of energy earned from killing the Power Mage ultra boss.,2361,0.0,0.8705882430076599,0.0,1.0
88,producerCd,267870,0,producer cooldown,Power Mage Cooldown,-<value>%,<color=yellow>-<value>%</color> Power Mage Cooldown,Reduces the time you must wait before spawning the Power Mage ultra boss again.,2911,0.7843137383460999,0.7843137383460999,0.7843137383460999,1.0
89,trainerExp,266476,0,trainer exp,Training Dummy Exp,+<value>%,<color=yellow>+<value>%</color> Training Dummy Exp,Increases the amount of rank exp earned from killing the Training Dummy ultra boss.,2497,0.0,0.5882353186607361,0.8823529481887817,1.0
90,trainerCd,266638,0,trainer cooldown,Training Dummy Cooldown,-<value>%,<color=yellow>-<value>%</color> Training Dummy Cooldown,Reduces the time you must wait before spawning the Training Dummy ultra boss again.,2911,0.7843137383460999,0.7843137383460999,0.7843137383460999,1.0
91,trainerSpawns,263439,0,trainer num spawns,Training Dummy Spawns,+<value>,<color=yellow>+<value></color> Training Dummy Spawns,Increases the number of Training Dummies spawned when summoning this ultra boss.,2356,0.686274528503418,0.19607843458652496,0.19607843458652496,1.0
92,runesReward,259923,0,runes reward,Ancient Shadow Runes,+<value>,<color=yellow>+<value></color> Shadow Runes,Increases the number of runes earned from killing the Ancient Shadow ultra boss.,2375,0.4901960790157318,0.3921568691730499,0.7843137383460999,1.0
93,runesRarity,264045,0,runes rarity,Rune Rarity Chance,+<value>%,<color=yellow>+<value>%</color> Rarer Runes,Increases the chance that newly discovered runes will be of a higher rarity and more powerful.,2439,0.4901960790157318,0.3921568691730499,0.7843137383460999,1.0
94,runes2xChance,262235,0,2x rune drop chance,2x Rune Chance,+<value>%,<color=yellow>+<value>%</color> 2x Rune Chance,Increases the chance that the Ancient Shadow ultra boss drops 2x runes when killed.,2375,0.4901960790157318,0.3921568691730499,0.7843137383460999,1.0
95,techReward,263084,0,tech reward,Exotic Alien Tech,+<value>,<color=yellow>+<value></color> Alien Tech,Increases the number of tech scrolls earned from killing the Exotic Alien ultra boss.,2872,0.4901960790157318,0.3921568691730499,0.7843137383460999,1.0
96,tech2xChance,266176,0,2x tech drop chance,2x Tech Chance,+<value>%,<color=yellow>+<value>%</color> 2x Tech Chance,Increases the chance that the Exotic Alien ultra boss drops 2x tech scrolls when killed.,2872,0.4901960790157318,0.3921568691730499,0.7843137383460999,1.0
97,ultimusReward,266677,0,ultimus reward,Ultimus Tokens,+<value>%,<color=yellow>+<value>%</color> Ultimus Tokens,Increases the amount of tokens earned from killing the Ultimus ultra boss.,2376,0.19607843458652496,0.19607843458652496,1.0,1.0
98,ultimusCd,257272,0,ultimus cooldown,Ultimus Cooldown,-<value>%,<color=yellow>-<value>%</color> Ultimus Cooldown,Reduces the time you must wait before earning an additional Ultimus boss spawn.,2911,0.7843137383460999,0.7843137383460999,0.7843137383460999,1.0
99,ultimusMaxSpawns,266349,0,ultimus max spawns,Ultimus Max Spawns,+<value>,<color=yellow>+<value></color> Ultimus Max Spawns,Increases the maximum number of Ultimus spawns that you can stockpile at once.,2356,0.686274528503418,0.19607843458652496,0.19607843458652496,1.0
100,ultimus2xChance,260626,0,2x ultimus tokens chance,2x Tokens Chance,+<value>%,<color=yellow>+<value>%</color> 2x Tokens Chance,Increases the chance that the Ultimus ultra boss drops 2x tokens when killed.,2376,0.19607843458652496,0.19607843458652496,1.0,1.0
101,battlepassExp,263334,0,battlepass exp,Battlepass Exp,+<value>,<color=yellow>+<value></color> Battlepass Exp,Increases the amount of battlepass exp you earn from completing waves.,2863,0.0,0.7830188870429993,0.0,1.0
102,battlepassExpPct,263068,0,battlepass exp (%),Battlepass Exp (%),+<value>%,<color=yellow>+<value>%</color> Battlepass Exp,Increases the amount of battlepass exp you earn from completing waves.,2863,0.0,0.7830188870429993,0.0,1.0
103,dailyGiftRunes,262196,0,daily gift runes,Daily Gift Runes,+<value>,<color=yellow>+<value></color> Daily Gift Runes,Increases the number of runes you receive from Daily Gifts.,2439,0.4901960790157318,0.3921568691730499,0.7843137383460999,1.0
104,gameSpeed,262970,0,game speed,Max Game Speed,+<value>x,<color=yellow>+<value>x</color> Game Speed,Increases the maximum game speed setting.,2883,0.501960813999176,1.0,0.501960813999176,1.0
105,offlineResourceType,263803,0,offline resource type,Offline Resource Types,n/a,Offline Resource Types,Adds extra resource types to your offline progress:<br>Lv. 1 adds Runes<br>Lv. 2 adds Tech Scrolls<br>Lv. 3 adds Battlepass Exp<br>Lv. 4 adds Mastery Exp,2468,0.0,0.6431372761726379,0.0,1.0
106,offlineRewards,267935,0,offline rewards,Offline Rewards,+<value>%,<color=yellow>+<value>%</color> Offline Rewards,Increases the rewards earned from Offline Progress.,2882,0.0,0.6431372761726379,0.0,1.0
107,adBonusReward,268608,0,ad reward,Ad Bonus Reward,+<value>%,<color=yellow>+<value>%</color> Ad Bonus Reward,Increases the temporary bonus stat/resource effects granted from video ads. This does NOT effect the gem reward.,2387,1.0,0.0,1.0,1.0
108,adBonusDuration,262765,0,ad duration,Ad Bonus Duration,+<value>%,<color=yellow>+<value>%</color> Ad Bonus Duration,Increases the time that a bonus effect from video ads remains active.,2388,1.0,0.0,1.0,1.0
109,adBonusGems,262884,0,ad gems,Ad Bonus Gems,+<value>,<color=yellow>+<value>%</color> Ad Bonus Gems,Increases the number of gems received from video ads.,2919,1.0,0.0,1.0,1.0
110,adBonusUltraCritChance,265402,0,ad bonus ultra crit chance,Ad + Ultra Crit Chance,+<value>%,<color=yellow>+<value>%</color> Ad + Ultra Crit Chance,Adds an ultra crit chance bonus to the damage bonus video ad.,2427,0.7843137383460999,0.0,0.0,1.0
111,adBonusUltraCritAmount,261741,0,ad bonus ultra crit damage,Ad + Ultra Crit Damage,+<value>%,<color=yellow>+<value>%</color> Ad + Ultra Crit Damage,Adds an ultra crit damage bonus to the damage bonus video ad.,2383,0.7843137383460999,0.0,0.0,1.0
