line,categories,string
85,Economy,<size=32><color=yellow>+{0}%</color> Ultra Exp Amount</size>
86,Economy;Functions,<size=32><color=yellow>+{0}%</color> Ultra Exp Chance / <color=yellow>+{1}%</color> Ultra Exp Amount</size>
87,Economy;Functions,<size=32><color=yellow>+{0}%</color> Ultra Exp Chance</size>
88,Economy,<size=32><color=yellow>+{0}%</color> Ultra Gold Amount</size>
89,Economy;Functions,<size=32><color=yellow>+{0}%</color> Ultra Gold Chance / <color=yellow>+{1}%</color> Ultra Gold Amount</size>
90,Economy;Functions,<size=32><color=yellow>+{0}%</color> Ultra Gold Chance</size>
91,Economy,<size=32><color=yellow>+{0}%</color> Ultra Income Amount</size>
92,Economy;Functions,<size=32><color=yellow>+{0}%</color> Ultra Income Chance / <color=yellow>+{1}%</color> Ultra Income Amount</size>
93,Economy;Functions,<size=32><color=yellow>+{0}%</color> Ultra Income Chance</size>
103,Functions,First 100 Bonus Chance: <color=green>+{0:f2}%</color>
105,Economy,Introductory Price Information for
210,Heroes;CombatStats,<color=orange></line-height>
217,Functions,var unityObject = kongregateUnitySupport.getUnityObject();
234,Progression;Economy,<size=24><i>(repeats)+<u>+<u>{0:n0}</u>*+=+Battlepass Exp+Mastery Exp+Runes+Tech Scrolls+{0:f1}%
238,Bosses,+{0:n0} Supreme Tokens+{0:n0}%+{0:n0}%
242,Economy,+{0} exp+{0}%
277,Heroes;Economy,"2) <indent=4%>Find the <color=#00FFFF>Druid</color> hero, then click the <color=green>Unlock</color> button to spend energy to unlock him.</indent>"
279,Heroes;Economy,"2) <indent=4%>Find the <color=#00FFFF>Viking</color> hero, then click the <color=green>Unlock</color> button to spend energy to unlock her.</indent>"
283,Heroes,"2) <indent=4%>Click the <color=green>Open Upgrades Menu</color> button to open this hero's ""Attributes"" menu.</indent>"
291,Heroes;Progression;CombatStats,2) <indent=4%>Click the <color=orange>Prestige</color> tab button on the left side of the menu.</indent>
293,Heroes;Progression;CombatStats,2) <indent=4%>Click the <color=orange>Prestige</color> tab button on the left side of the menu.</indent>
295,Heroes;Progression;CombatStats,2) <indent=4%>Click the <color=orange>Prestige</color> tab button on the left side of the menu.</indent>
296,Progression;CombatStats,"3) <indent=4%>Find the <color=green>Max Game Speed</color> upgrade at the bottom of the menu, and spend prestige power to upgrade it.</indent>"
298,Heroes;Progression;CombatStats,2) <indent=4%>Click the <color=orange>Research</color> tab button on the left side of the menu.</indent>
300,Heroes;Progression;CombatStats,2) <indent=4%>Click the <color=orange>Research</color> tab button on the left side of the menu.</indent>
302,Heroes;Progression;CombatStats,2) <indent=4%>Click the <color=orange>Research</color> tab button on the left side of the menu.</indent>
304,Heroes;Progression;CombatStats,2) <indent=4%>Click the <color=orange>Research</color> tab button on the left side of the menu.</indent>
306,Heroes;Progression;CombatStats,2) <indent=4%>Click the <color=orange>Research</color> tab button on the left side of the menu.</indent>
308,Heroes;CombatStats,2) <indent=4%>Click the <color=orange>Spells</color> tab button on the left side of the menu.</indent>
309,Heroes;Economy;CombatStats,3) <indent=4%>Spend energy to unlock any <color=orange>Spell</color> of your choice.</indent>
310,CombatStats,4) <indent=4%>Click the <color=green>Equip</color> button to equip the spell.</indent>
312,Heroes;CombatStats;Functions,2) <indent=4%><color=orange>Drag and drop</color> the two heroes to get them close enough to each other so that they are <color=green>within range</color> of each other.</indent>
314,Heroes;CombatStats,2) <indent=4%>Position them such that <color=orange>BOTH</color> heroes are within range of each other at the same time.</indent>
316,Heroes;CombatStats,2) <indent=4%>Position them such that <color=#00FFFF>Militia</color> and <color=#00FFFF>Scout</color> are both within <color=#00FFFF>Viking's</color> range.</indent>
318,Heroes;CombatStats,2) <indent=4%>Select one of your <color=#00FFFF>Hunter</color> heroes from the map to open his <color=orange>Upgrade Menu</color>.</indent>
319,Heroes;Functions,3) <indent=4%>Select the <color=#00FFFF>Targeting</color> button to open this hero's targeting settings.</indent>
320,Bosses;Heroes;CombatStats,4) <indent=4%>Activate the <color=orange>Focus Bosses</color> and <color=orange>Boss Skills Only</color> settings.</indent>
323,Heroes;CombatStats,2) <indent=4%>Position them such that <color=#00FFFF>Assassin</color> and <color=#00FFFF>Forester</color> are both within <color=#00FFFF>Archer's</color> range.</indent>
326,Heroes;CombatStats,2) <indent=4%>Click the <color=orange>Upgrades</color> button in the bottom left corner of the screen.</indent>
327,Heroes;Progression;CombatStats,3) <indent=4%>Click the <color=orange>Runes</color> tab button on the left side of the menu.</indent>
329,Heroes;CombatStats,2) <indent=4%>Click the <color=orange>Upgrades</color> button in the bottom left corner of the screen.</indent>
330,Heroes;Progression;CombatStats,3) <indent=4%>Click the <color=orange>Prestige</color> tab button on the left side of the menu.</indent>
332,Heroes;CombatStats,2) <indent=4%>Click the <color=orange>Upgrades</color> button in the bottom left corner of the screen.</indent>
333,Heroes;Progression;CombatStats,3) <indent=4%>Click the <color=orange>Research</color> tab button on the left side of the menu.</indent>
335,Heroes;Progression;CombatStats,2) <indent=4%>Click the <color=orange>Prestige</color> button in the bottom left corner of the screen.</indent>
339,Functions,"We apologize for this inconvenience, but please update your game to continue playing.</color>"
341,Progression;Economy;Functions,<color=#00FFFF>+</color> Energy</color> Gems</color> Gold</color> Presets</color> Prestige</color> Prestige Power</color> Rank Exp
342,Heroes;Progression;Economy;Functions,<i><color=green><size=25>(for <u>ALL</u> unlocked heroes)</color> Rank Exp</smallcaps>
344,Bosses;Progression;Economy;Functions,<i><size=28><color=#C8C8C8>(of each color)</color> Tournament rewards!</color> Trophies</color> Ultimus Tokens</color> Weekly Task!
348,Progression,<size=24><i><color=grey>Tournament ID = </color></i></size></color></size></color></size>
361,Economy,<color=#00E100><color=#00E100>+<color=#00FFFF><color=#00FFFF>+<color=#00FFFF>+{0:n0}</color> Gems<color=#00FFFF>+{0} Gems</color><color=#00FFFF></line-height>
362,Progression,<color=#00FFFF>Astral Battleground's</color> perks rotate to <color=yellow><color=#19AFFF><color=#19AFFF>+<color=#19AFFF>+{0}</color> Mastery Points<color=#19AFFF></line-height>
370,Economy,<color=#FF00FF>+{0}</color> Gems<color=#FF1900><color=#FF2100><color=#FF2100>
373,Heroes;CombatStats,</color> {1}<color=green><color=green>+<color=green>+{0:n0}% damage from {1} Heroes</color>
374,Bosses;Progression,<color=green>+{0}%</color> Ancient Shadow Runes
375,CombatStats,<color=green>+{0}%</color> Attack Speed
376,Progression;Economy,<color=green>+{0}%</color> Battlepass Exp
377,Heroes;CombatStats,<color=green>+{0}%</color> Damage
378,Bosses;Progression,<color=green>+{0}%</color> Exotic Alien Tech
379,CombatStats;Functions,<color=green>+{0}%</color> Instant Skill Chance
380,CombatStats;Functions,<color=green>+{0}%</color> Instant Spell Chance
381,Economy,<color=green>+{0}%</color> Kill Gold
382,Progression;Functions,<color=green>+{0}%</color> Milestone Bonus
383,Bosses;Functions,<color=green>+{0}%</color> Mimic Boss Chance
384,Heroes;CombatStats,<color=green>+{0}%</color> Range
385,Progression;Economy;Functions,<color=green>+{0}%</color> Rank Exp
386,Bosses;CombatStats;Functions,<color=green>+{0}%</color> Shadow/Alien HP Skip Chance
387,CombatStats,<color=green>+{0}%</color> Skill Power
388,CombatStats;Functions,<color=green>+{0}%</color> Super Crit Chance
389,Heroes;CombatStats,<color=green>+{0}%</color> Super Crit Damage
390,Economy,<color=green>+{0}%</color> Super Energy Amount
391,Economy;Functions,<color=green>+{0}%</color> Super Energy Chance
392,Economy,<color=green>+{0}%</color> Super Exp Amount
393,Economy;Functions,<color=green>+{0}%</color> Super Exp Chance
394,Economy,<color=green>+{0}%</color> Super Gold Amount
395,Economy;Functions,<color=green>+{0}%</color> Super Gold Chance
396,Functions,<color=green>+{0}%</color> Synergy Bonus
397,Bosses,<color=green>+{0}%</color> Ultimus Tokens
398,CombatStats;Functions,<color=green>+{0}%</color> Ultra Crit Chance
399,Heroes;CombatStats,<color=green>+{0}%</color> Ultra Crit Damage
400,Economy,<color=green>+{0}%</color> Ultra Energy Amount
401,Economy;Functions,<color=green>+{0}%</color> Ultra Energy Chance
402,Economy,<color=green>+{0}%</color> Ultra Exp Amount
403,Economy;Functions,<color=green>+{0}%</color> Ultra Exp Chance
404,Economy,<color=green>+{0}%</color> Ultra Gold Amount
405,Economy;Functions,<color=green>+{0}%</color> Ultra Gold Chance
406,Economy,<color=green>+{0}</color> Energy Income
407,CombatStats,<color=green>-{0}%</color> Skill Cooldown
408,CombatStats,<color=green>-{0}%</color> Spell Cooldown
412,Progression;Functions,<color=green>{0}</color> just ranked up  <color=green><size=28><i><u>{1} times</u></i></size></color>!
413,Progression;Functions,<color=green>{0}</color> just ranked up <color=green>{1} {2}</color>!
414,Progression;CombatStats,<color=green>{0}</color> just reached <color=#19AFFF>Skill Mastery Lv. {1}</color>!
416,Bosses;Heroes;Progression;CombatStats;Functions,Event begins in: <color=orange><color=grey>N/A</color><color=grey>Off<color=grey>Rank {0} Required<color=grey>Reduce HP (-{0}%)<color=grey>Supreme Spawn Chance: N/A
417,Bosses;Heroes;Progression;CombatStats,Supreme Tech Drop: N/A</color><color=orange><color=orange>(<color=orange>+<color=orange>+{0:n0}</color> Tickets<color=orange>+{0}</color> Weekly Tickets<color=orange></line-height>
418,Heroes;CombatStats,<color=orange>> [{0:T}]</color> {1}
419,Heroes;Progression;CombatStats,<color=orange>Claim today's gift</color> to unlock the next day!<color=purple>+<color=purple>+{0} Mastery Points<color=purple>------------------------------
420,Economy,"** If you are experiencing issues, please screenshot the relevant section of this log and share it with the developer on Discord **"
422,Bosses;Heroes;CombatStats;Functions,<color=red>Mage</color> heroes deal 50% damage.<color=red>Supreme</color> Chance: <color=yellow>{0:f3}%</color>
423,Bosses;Functions,<color=red>Supreme</color> Chance: <color=yellow>{0:n0}%</color>
425,Bosses;CombatStats;Functions,<color=red>Supreme</color> Spawn Chance: <color=yellow>{0:n0}%</color>
426,Bosses;Progression,<color=red>Supreme</color> Tech Drop: <color=yellow>{0:n0}</color><color=red>Supreme</color> Tech: <color=yellow>{0:n0}</color><color=red>This Tournament has ended!</color>
427,Progression,<size=24><i><color=grey>Tournament ID = <color=red>Your account is banned [<color=white><color=white>Local Time:</color>
433,Heroes,+<color=yellow><size=48>You are playing an outdated version of Idle Hero TD!</size></color>
436,Heroes;CombatStats,Time Remaining: <color=orange><color=yellow>Lv. {0:n0} / {1}</color>
437,Progression;CombatStats;Functions,"{2}<color=yellow>Max Game Speed (x6)</color> for <color=green><color=yellow>Rank <color=yellow>{0}/{1}</color> Spawns<color><color>{1,4}<comm.ADP.TraceException|ERR|CATCH> '%ls'"
445,Heroes;CombatStats,</line-height><color=orange>
452,Heroes;CombatStats,<size=32><color=#00FFFF>Astral Battleground</color> <color=yellow>(Damage Perks)</color></size>
453,Economy,<size=32><color=#00FFFF>Astral Battleground</color> <color=yellow>(Energy Perks)</color></size>
454,Economy,<size=32><color=#00FFFF>Astral Battleground</color> <color=yellow>(Exp Perks)</color></size>
455,Economy,<size=32><color=#00FFFF>Astral Battleground</color> <color=yellow>(Gold Perks)</color></size>
456,CombatStats,<size=32><color=#00FFFF>Astral Battleground</color> <color=yellow>(Skill Perks)</color></size>
461,Progression,[{0}]<size=48><color=green>+<smallcaps><color=#19AFFF>+<smallcaps><color=#AF00FF>+{0}%</color> Prestige Power</smallcaps>
462,Economy,<size=28><i> (permanent upgrade)<smallcaps><color=green>+{0:n0}</color> Energy Income</smallcaps>
463,Heroes;CombatStats,<size=28><i> (permanent upgrade)<smallcaps><color=red>+{0}%</color> Damage</smallcaps>
464,Economy,<size=28><i> (permanent upgrade)<smallcaps><color=yellow>+{0}%</color> Kill Gold</smallcaps>
465,Functions,<size=28><i> (permanent upgrade)<smallcaps>Level</smallcaps>
479,Economy;Functions,RequiredActive Play BonusActive Play DurationActive Play PremiumActive Play RewardActive tab cannot be null when there are available tabs.Active!
486,Functions,An error occured while trying to get the project configuration for services.
502,Functions,: Clip update total
513,CombatStats,Cooldown
514,CombatStats,<size=40>Cooldown
515,CombatStats,{0:D1}m {1:D1}sCooldown: <color=yellow>Copied style is null. Using StyleNotFound instead.CopyCoralCore Service not initialized.
530,WavePerks,: DisabledDisallowedDiscardDiscount!
531,Heroes;CombatStats,<color=orange><size=20>10% OFF</size></color>Discount!
532,Heroes;CombatStats,<color=orange><size=20>25% OFF</size></color>Discount!
533,Heroes;CombatStats,<color=orange><size=20>50% OFF</size></color>Discount!
537,Heroes;CombatStats,: Draw points not ready yet (path not initialized) or path tween has been killed. Returning NULLDraw range calls
538,Heroes;CombatStats,: Draw ranges
547,Progression,<size=48><color=red>[{0}]Error loading tournament data.
572,Heroes,Favorite Hero:
573,Heroes,Best Hero:
593,Functions,{0}%Max Max BonusMax LimitMax Limit
596,Functions,: Mesh allocs updated
602,Heroes;CombatStats,<color=orange>{0:D1}d {1:D1}hNext Event In:
610,Functions,"Oh, something went wrong while getting the hash!"
611,Progression,Error message: OldLaceOliveOliveDrabOmitXmlDeclarationOn Wave: <color=yellow>{0}</color> <color=green><i>(+{1:n0})</i></color>
613,Functions,: Opacity update roots
614,Functions,: Opacity update total
617,CombatStats,PATCHPBSZPC-Multilingual-850+euroPENDINGPERMANENTLY_BANNED_USERPERMISSION_DENIEDPE_PIPINGPKCS 7 DataPMPOBoxPORTPOSIXPOSTPREMIUM
619,CombatStats,<color=white><size=20>PROPFINDPROPPATCHPROTPUBPUBLICPURCHASEDPUTPUT payload cannot be empty.PWDPWD
622,Bosses;CombatStats;Functions,<size=48><color=red>[Boss Already Spawned]Please try again later.
625,Heroes,"Purchase Hero (Purchase Pending, Waiting for confirmation for {0} seconds - Product: {1}Purchase Processing..."
628,Bosses,<size=48>PvpBossDataPvpBoss_QQNameQUITQUIT
630,Progression;Economy;Functions,Rank Rank 2000 RequiredRank and exp are shared between
631,Heroes;Progression;CombatStats;Functions,<color=orange>all Rank {0} > <color=#19AFFF>{1}</color>
632,Progression;Economy;Functions,"Rank {0} RequiredRank, exp, and attributes are shared"
636,Economy;Functions,<size=36><color=#40FFFF>[Diamond League]Rewards
637,Economy;Functions,<size=36><color=#C0C0C0>[Silver League]Rewards
638,Economy;Functions,<size=36><color=#CD7F32>[Bronze League]Rewards
644,Progression;CombatStats,RequiredSkip Ads!Skip Enemy Wave HP ProcsSkip cmd counts
647,CombatStats;Functions,<color=yellow>Spawn
648,CombatStats;Functions,<color=yellow>{0:n0}x</color>Spawn <color=yellow>Spawn <color=yellow>{0:n0}x</color>
668,Functions,"Example: Timing.RunCoroutine(_foo().CancelWith(gameObject), Segment.FixedUpdate);This exception can probably be fixed by adding ""CancelWith(gameObject)"" when you run the coroutine."
669,Functions,"Example: Timing.RunCoroutine(_foo().CancelWith(gameObject), Segment.LateUpdate);This exception can probably be fixed by adding ""CancelWith(gameObject)"" when you run the coroutine."
673,Heroes;CombatStats,<color=orange>Time Remaining:
674,Heroes;CombatStats,<color=orange><i>Ended!Time Remaining:
676,Progression,Total Kills: <color=yellow>Total Players: <color=red>N/ATotal Players: <color=yellow>Total WavesTotal triangles
681,Functions,: Visual update roots
682,Functions,: Visual update total
684,Progression,Wave
685,Progression,5000Wave Wave 1 - 499 = {0:n0}
686,Progression,Wave 1000 - 1999 = {0:n0}
687,Progression,Wave 10k - 15k = {0:n0}
688,Progression,Wave 15k - 20k = {0:n0}
689,Progression,Wave 2000 - 3999 = {0:n0}
690,Progression,Wave 20k - 25k = {0:n0}
691,Progression,Wave 25k - 30k = {0:n0}
692,Progression,Wave 30k+ = {0:n0}Wave 4000 - 5999 = {0:n0}
693,Progression,Wave 500 - 999 = {0:n0}
694,Progression,Wave 5000Wave 5000
695,Progression,RequiredWave 5k RequiredWave 6000 - 10k = {0:n0}
696,Progression,Wave GrinderWave LimitWave Perks <color=grey>(x0)</color>Wave Perks <color=yellow>(x{0})</color>Wave {0:0}Wave {0:0}
697,Progression,RequiredWave {0:n0}Wave {0:n0}
700,Functions,: Xform update total
716,Functions,<color=grey>{0}</color>[AUTH] failed to re-update server username:
739,Bosses,Goblinsx</color>
740,Heroes,Magesx</color>
817,Heroes;CombatStats;Functions,{0}Tier 2:</color> {1}All heroes deal {2}+{3}%</color> extra damage for every 1m distance the enemy is from the hero.</color><line-height=140%>
818,Heroes;CombatStats;Functions,</line-height>{0}Tier 2:</color> {1}All heroes gain {2}+{3}%</color> double-shot chance (instantly perform 2 attacks).</color><line-height=140%>
819,Heroes;CombatStats;Functions,</line-height>{0}Tier 2:</color> {1}All heroes gain {2}+{3}%</color> instant skill cooldown chance after using a skill.</color><line-height=140%>
820,Heroes;CombatStats,</line-height>{0}Tier 2:</color> {1}All heroes gain {2}+{3}%</color> splash damage.</color><line-height=140%>
821,Heroes;CombatStats;Functions,</line-height>{0}Tier 2:</color> {1}All heroes gain {2}+{3}%</color> super crit chance.</color><line-height=140%>
822,Heroes;CombatStats,</line-height>{0}Tier 2:</color> {1}All heroes gain {2}+{3}%</color> super crit damage.</color><line-height=140%>
823,Heroes;CombatStats,</line-height>{0}Tier 2:</color> {1}All heroes gain {2}+{3}s</color> skill duration.</color><line-height=140%>
824,Heroes;CombatStats;Functions,"</line-height>{0}Tier 2:</color> {1}Burn the enemies, continually dealing the spell's damage every second for {2}{3}s</color>.</color><line-height=140%>"
826,CombatStats;Functions,</line-height>{0}Tier 2:</color> {1}Increase enemy spawn speed by {2}+{3}%</color>.</color><line-height=140%>
827,Economy;Functions,</line-height>{0}Tier 2:</color> {1}Increase super energy income chance by {2}+{3}%</color>.</color><line-height=140%>
828,Economy;Functions,</line-height>{0}Tier 2:</color> {1}Increase super exp chance by {2}+{3}%</color>.</color><line-height=140%>
829,Economy;Functions,</line-height>{0}Tier 2:</color> {1}Increase super gold chance by {2}+{3}%</color>.</color><line-height=140%>
847,Functions,CalculateCurrentIncrease
848,Functions,Update
853,CombatStats,_translationSpeed
855,CombatStats,_movementSpeed
856,CombatStats,_boostedSpeed
857,CombatStats,_boostSpeed
860,CombatStats,_enableSpeedAcceleration
861,CombatStats,_speedAccelerationFactor
868,WavePerks,AnimationCardOpener
870,WavePerks,PlayCardOpen
871,WavePerks,PlayCardClosed
872,WavePerks,animationCardOpen
873,WavePerks,CardPack
897,WavePerks,PlayCards
898,WavePerks,PlayCardsBack
929,CombatStats,PlayAnimAttack
930,CombatStats,PlayAttack
941,CombatStats,<PlayAttack>d__4
967,CombatStats,dropdownWithPlaceholder
969,CombatStats,RotationSpeeds
970,CombatStats,m_textMeshPro
976,Economy;Functions,InitializeRewardedAds
977,Economy;Functions,LoadRewardedAd
979,Economy;Functions,_adReward
980,Economy;Functions,ShowRewardedAd
983,Economy;Functions,OnRewardedAdLoadedEvent
985,Economy;Functions,OnRewardedAdLoadFailedEvent
986,Economy;Functions,OnRewardedAdDisplayedEvent
987,Economy;Functions,OnRewardedAdFailedToDisplayEvent
988,Economy;Functions,OnRewardedAdClickedEvent
989,Economy;Functions,OnRewardedAdHiddenEvent
990,Economy;Functions,reward
991,Economy;Functions,OnRewardedAdReceivedRewardEvent
992,Economy;Functions,giveReward
993,Economy;Functions,OnRewardedAdRevenuePaidEvent
1000,Economy;Functions,adReward
1001,Economy;Functions,gaveReward
1011,Economy,price
1013,Automation,AutomationActiveHudCell
1015,Functions,updSliders
1026,Progression,prestigeWave
1027,Automation,AutomationActiveHudPanel
1028,Functions,updPanel
1029,Functions,_updUiSizeAfterFrame
1039,Functions,updTimer
1042,Functions,<updPanel>b__11_0
1044,Functions,<_updUiSizeAfterFrame>d__12
1045,Automation,AutomationFunctionActiveCell
1046,Functions,updCell
1047,Functions,updSlider
1053,Heroes,bgImage
1060,Economy;Functions,unlockSlotButtonCost
1061,Economy;Functions,unlockSlotCost
1063,Automation,AutomationFunctionCell
1069,Progression,waveReq
1074,Economy;Functions,unlockButtonCost
1080,Economy;Functions,cost
1081,Automation,AutomationFunctionDetailsMenu
1082,Progression,onPrestigeSliderChanged
1091,Progression,settingsPrestige
1092,Progression,prestigeWaveSlider
1093,Progression;Economy,prestigeMaxValue
1094,Progression,prestigeWavePctText
1095,Progression,prestigeWaveMaxText
1096,Progression,prestigeWaveNumText
1097,Progression;WavePerks,settingsWavePerks
1098,Bosses,settingsUltimus
1099,Bosses;Progression,ultimusWaveCover
1100,Bosses;Progression,ultimusWaveButtonText
1101,Bosses,ultimusTypeCover
1102,Bosses;Heroes,ultimusTypeButtonImage
1103,Bosses,ultimusTypeButtonText
1104,Bosses,settingsSupreme
1105,Bosses;Progression,supremeWaveCover
1106,Bosses;Progression,supremeWaveButtonText
1110,Automation,AutomationInfoPanel
1115,Heroes;CombatStats,damageBoost
1116,Economy,goldBoost
1117,Economy,energyBoost
1118,Economy,expBoost
1119,Automation;Heroes;Functions,autoLevelHeroes
1120,Automation;Progression;WavePerks,autoWavePerks
1122,Automation;Progression,autoPrestige
1123,Bosses;CombatStats;Functions,spawnBosses
1124,Bosses;CombatStats;Functions,spawnGoblins
1125,Bosses;CombatStats;Functions,spawnProducers
1126,Bosses;CombatStats;Functions,spawnTrainers
1127,Bosses;CombatStats;Functions,spawnShadows
1128,Bosses;CombatStats;Functions,spawnAliens
1129,Bosses;CombatStats;Functions,spawnUltimus
1130,Bosses;CombatStats;Functions,spawnSupreme
1132,Heroes;CombatStats,damageBoostAmount
1133,Heroes;CombatStats,damageBoostMax
1134,Heroes;CombatStats,damageBoostCooldown
1135,Economy,goldBoostAmount
1136,Economy,goldBoostMax
1137,Economy;CombatStats,goldBoostCooldown
1138,Economy,energyBoostAmount
1139,Economy,energyBoostMax
1140,Economy;CombatStats,energyBoostCooldown
1141,Economy,expBoostAmount
1142,Economy,expBoostMax
1143,Economy;CombatStats,expBoostCooldown
1144,Automation;Heroes;CombatStats;Functions,autoLevelHeroesCooldown
1145,Automation;Progression;WavePerks,autoWavePerksAmount
1146,CombatStats,autoClaimAdsCooldown
1147,Automation;Progression,autoPrestigeWaveLimit
1148,Automation;Bosses;CombatStats;Functions,autoBossSpawns
1149,Automation;Bosses;Functions,autoBossBonus
1150,Automation;Bosses;CombatStats,autoBossCooldown
1151,Bosses;CombatStats;Functions,autoGoblinSpawns
1152,Bosses;Functions,autoGoblinBonus
1153,Bosses;CombatStats,autoGoblinCooldown
1154,Bosses;CombatStats;Functions,autoProducerSpawns
1155,Bosses;Functions,autoProducerBonus
1156,Bosses;CombatStats,autoProducerCooldown
1157,Bosses;CombatStats;Functions,autoTrainerSpawns
1158,Bosses;Functions,autoTrainerBonus
1159,Bosses;CombatStats,autoTrainerCooldown
1160,Bosses;CombatStats;Functions,autoShadowSpawns
1161,Bosses;Functions,autoShadowBonus
1162,Bosses;CombatStats,autoShadowCooldown
1163,Bosses;CombatStats;Functions,autoAlienSpawns
1164,Bosses;Functions,autoAlienBonus
1165,Bosses;CombatStats,autoAlienCooldown
1166,Bosses;CombatStats;Functions,autoUltimusSpawns
1167,Bosses;Functions,autoUltimusBonus
1168,Bosses;CombatStats,autoUltimusCooldown
1169,Bosses;CombatStats;Functions,autoSupremeSpawns
1170,Bosses;Functions,autoSupremeBonus
1171,Bosses;CombatStats,autoSupremeCooldown
1172,CombatStats,idleActivationCooldown
1173,Automation;Progression;Functions,autoLevelInstantAfterPrestige
1174,Bosses,autoUltimusType
1175,Bosses;Progression,autoUltimusWave
1176,Bosses;Progression,autoSupremeWave
1177,Heroes;CombatStats,damageBoostStartVal
1178,Economy,goldBoostStartVal
1179,Economy,energyBoostStartVal
1180,Economy,expBoostStartVal
1181,Automation;Heroes;Functions,autoLevelHeroesSpendAmount
1182,Automation,AutomationPanel
1190,Economy;Functions,nextFunctionUnlockCost
1193,Economy;Functions,resetButtonCost
1197,Automation,AutomationUpgradeActiveCell
1206,Economy;Functions,completeButtonCost
1207,Economy;Functions,completeCost
1208,Automation,AutomationUpgradeCell
1213,Economy;Functions,upgradeButtonCost
1217,Economy;Functions,naCoverCost
1219,Functions,currLevel
1220,Functions,maxLevel
1221,Economy;Functions,baseCost
1222,Economy;Functions,costMult
1223,Economy;Functions,upgradeCost
1224,Bosses,BossPanel
1225,Bosses,_bossNum
1226,CombatStats;Functions,spawnButton
1227,CombatStats,buyHpReduction
1228,CombatStats;Functions,autoSpawnButton
1229,Bosses,bossNum
1230,Economy,openGoldenInfoPanel
1232,Bosses;Economy;Functions,expandedSupremeChancePanels
1233,Economy;Functions,expandedGoldenChancePanels
1234,Bosses;Economy,expandedUltimusPanel
1235,Bosses,goblinRectTransform
1236,CombatStats,hpText1
1237,Economy;Functions,rewardText1
1238,Economy;Functions,rewardDesc1
1239,CombatStats;Functions,spawnButtonText1
1244,Bosses;Economy;Functions,goblinGoldenChanceText
1245,Bosses,producerRectTransform
1246,CombatStats,hpText2
1247,Economy;Functions,rewardText2
1248,Economy;Functions,rewardDesc2
1249,CombatStats;Functions,spawnButtonText2
1254,Bosses;Economy;Functions,producerGoldenChanceText
1255,Bosses,trainerRectTransform
1256,CombatStats,hpText3
1257,Economy;Functions,rewardText3
1258,Economy;Functions,rewardDesc3
1259,CombatStats;Functions,spawnButtonText3
1264,Bosses;Economy;Functions,trainerGoldenChanceText
1265,Bosses,shadowRectTransform
1266,Bosses,bossAvailablePanel4
1267,Bosses,bossLockedPanel4
1268,CombatStats,hpText4
1269,CombatStats,hpReductionStatText4
1270,CombatStats,hpButton4
1271,Economy;CombatStats;Functions,hpButtonCost4
1272,CombatStats,hpButtonMaxCover4
1273,Economy;Functions,rewardText4
1274,CombatStats;Functions,spawnButton4
1275,CombatStats;Functions,spawnButtonTitle4
1276,Economy;CombatStats;Functions,spawnButtonCost4
